dataset_code,detail_type,code,default_quantity,route_code,default_selected,display_order
000001,procedure,160093810,,,1,10
000001,procedure,160098210,,,0,20
000001,procedure,160159270,,,0,30
000001,procedure,160187670,,,0,40
000001,medicine,620004961,10,PO,1,50
000001,medicine,620003539,5,PO,1,60
000001,medicine,620003854,1,TOP,0,70
000001,medicine,620008918,1,IV,0,80
000001,medicine,629938701,1,IM,0,90
000001,medicine,620004200,1,IV,0,100
000001,medicine,620004179,1,IV,0,110
000001,material,710010064,1,,0,120
000002,procedure,160093810,,,1,10
000002,procedure,160098210,,,0,20
000002,medicine,620004961,10,PO,1,30
000002,medicine,620003539,5,PO,1,40
000002,medicine,620003854,1,TOP,0,50
000002,medicine,620008918,1,IV,0,60
000002,medicine,629938701,1,IM,0,70
000002,medicine,620004200,1,IV,1,80
000002,medicine,620004179,1,IV,0,90
000003,procedure,160093410,,,1,10
000003,procedure,160150970,,,0,20
000003,procedure,160098210,,,0,30
000003,medicine,620004961,10,PO,1,40
000003,medicine,620003539,5,PO,1,50
000003,medicine,620003854,1,TOP,0,60
000003,medicine,620004200,1,IV,0,70
000003,medicine,620004179,1,IV,0,80
000004,procedure,160093810,,,1,10
000004,procedure,160148670,,,1,20
000004,procedure,160098210,,,0,30
000004,medicine,620004961,10,PO,1,40
000004,medicine,620003539,5,PO,1,50
000004,medicine,620003854,1,TOP,0,60
000004,medicine,620008918,1,IV,0,70
000004,medicine,629938701,1,IM,0,80
000004,medicine,620004200,1,IV,1,90
000004,medicine,620004179,1,IV,0,100
000005,procedure,150164410,,,1,10
000005,medicine,620008918,1,IV,0,20
000005,medicine,629938701,1,IM,0,30
000005,medicine,620004200,1,IV,1,40
000005,medicine,620004179,1,IV,0,50
000005,material,710010064,1,,1,60
000005,medicine,647280004,1,TOP,0,70
000006,procedure,150323010,,,1,10
000006,medicine,620008918,1,IV,0,20
000006,medicine,629938701,1,IM,0,30
000006,medicine,620004200,1,IV,1,40
000006,medicine,620004179,1,IV,0,50
000006,medicine,628512804,1,IV,0,60
000006,material,710010064,2,,1,70
000006,medicine,647280004,1,TOP,0,80
000007,procedure,150336810,,,1,10
000007,medicine,620004200,1,IV,1,20
000007,medicine,620004179,1,IV,0,30
000007,medicine,628512804,1,IV,0,40
000007,material,710010064,2,,1,50
000008,procedure,150164850,,,1,10
000008,medicine,620004961,10,PO,1,20
000008,medicine,620003539,5,PO,1,30
000008,medicine,620003854,1,TOP,0,40
000008,medicine,620004200,1,IV,0,50
000008,medicine,620004179,1,IV,0,60
000008,material,710010064,1,,0,70
000009,procedure,150270150,,,1,10
000009,medicine,620004200,1,IV,1,20
000009,medicine,620004179,1,IV,0,30
000009,material,726690000,1,,1,40
000009,material,729520000,1,,0,50
000010,procedure,150165050,,,1,10
000010,medicine,620004961,10,PO,1,20
000010,medicine,620003539,5,PO,1,30
000010,medicine,620003854,1,TOP,0,40
000010,medicine,620004200,1,IV,1,50
000010,medicine,620004179,1,IV,0,60
000011,procedure,150171610,,,1,10
000011,procedure,150380510,,,0,20
000011,medicine,620004961,10,PO,1,30
000011,medicine,620003539,5,PO,1,40
000011,medicine,620003854,1,TOP,0,50
000011,medicine,620004200,1,IV,1,60
000011,medicine,620004179,1,IV,0,70
000012,procedure,160219210,,,1,10
000012,procedure,160098210,,,0,20
000012,medicine,620008918,1,IV,0,30
000012,medicine,629938701,1,IM,0,40
000012,medicine,620004200,1,IV,1,50
000012,medicine,620004179,1,IV,0,60
000012,medicine,628512804,1,IV,0,70
000013,procedure,160183610,,,1,10
000013,procedure,160200950,,,0,20
000013,material,710010068,1,,1,30
000014,procedure,160094910,,,1,10
000014,procedure,160098210,,,0,20
000014,procedure,160159270,,,0,30
000014,medicine,620008918,1,IV,0,40
000014,medicine,629938701,1,IM,0,50
000014,medicine,620004200,1,IV,0,60
000014,medicine,620004179,1,IV,0,70
000014,medicine,622224401,2,PO,0,80
000014,material,710010064,1,,0,90
000015,procedure,160094810,,,1,10
000015,procedure,160098210,,,0,20
000015,medicine,620008918,1,IV,0,30
000015,medicine,629938701,1,IM,0,40
000015,medicine,620004200,1,IV,0,50
000015,medicine,620004179,1,IV,0,60
000015,medicine,622224401,2,PO,0,70
000016,procedure,160094710,,,1,10
000016,procedure,160098210,,,0,20
000016,medicine,620008918,1,IV,0,30
000016,medicine,629938701,1,IM,0,40
000016,medicine,620004200,1,IV,0,50
000016,medicine,620004179,1,IV,0,60
000016,medicine,622224401,2,PO,0,70
000017,procedure,160202750,,,1,10
000017,material,710010763,1,,1,20
000017,medicine,622224401,2,PO,0,30
000018,procedure,160094210,,,1,10
000018,medicine,620003852,5,TOP,1,20
000019,procedure,160183710,,,1,10
000019,medicine,620003852,5,TOP,1,20
000020,procedure,160094610,,,1,10
000020,procedure,160098210,,,0,20
000020,medicine,620003852,5,TOP,1,30
000021,procedure,150285010,,,1,10
000021,medicine,620008918,1,IV,0,20
000021,medicine,629938701,1,IM,0,30
000021,medicine,620004200,1,IV,0,40
000021,medicine,620004179,1,IV,0,50
000021,material,710010064,1,,1,60
000021,medicine,647280004,1,TOP,0,70
000022,procedure,150183410,,,1,10
000022,medicine,620008918,1,IV,0,20
000022,medicine,629938701,1,IM,0,30
000022,medicine,620004200,1,IV,1,40
000022,medicine,620004179,1,IV,0,50
000022,material,710010064,2,,1,60
000022,medicine,647280004,1,TOP,0,70
000023,procedure,150325010,,,1,10
000023,medicine,620008918,1,IV,0,20
000023,medicine,629938701,1,IM,0,30
000023,medicine,620004200,1,IV,1,40
000023,medicine,620004179,1,IV,0,50
000024,procedure,150263950,,,1,10
000024,medicine,620008918,1,IV,0,20
000024,medicine,629938701,1,IM,0,30
000024,medicine,620004200,1,IV,0,40
000024,medicine,620004179,1,IV,0,50
000024,material,710010064,1,,0,60
000025,procedure,160093810,,,1,10
000025,procedure,160093970,,,1,20
000025,medicine,620004961,10,PO,1,30
000025,medicine,620003539,5,PO,1,40
000025,medicine,620003854,1,TOP,0,50
000025,medicine,620008918,1,IV,0,60
000025,medicine,629938701,1,IM,0,70
000025,medicine,620004200,1,IV,1,80
000025,medicine,620004179,1,IV,0,90
000025,medicine,647210004,1,,0,100
000026,procedure,150175410,,,1,10
000026,medicine,620008918,1,IV,0,20
000026,medicine,629938701,1,IM,0,30
000026,medicine,620004200,1,IV,1,40
000026,medicine,620004179,1,IV,0,50
000026,medicine,647210004,1,,0,60
000027,procedure,150362310,,,1,10
000027,medicine,620004200,1,IV,1,20
000027,medicine,620004179,1,IV,0,30
000027,medicine,647210004,1,,0,40
000027,material,710010925,1,,1,50
000027,material,710010924,1,,1,60
000028,procedure,150254410,,,1,10
000028,medicine,620004200,1,IV,1,20
000028,medicine,620004179,1,IV,0,30
000028,medicine,647210004,1,,0,40
000028,material,710010918,1,,1,50
000029,procedure,150362510,,,1,10
000029,medicine,620004200,1,IV,1,20
000029,medicine,620004179,1,IV,0,30
000029,medicine,647210004,1,,0,40
000029,material,710010918,1,,0,50
000030,procedure,160092810,,,1,10
000030,procedure,160098210,,,0,20
000030,medicine,620003854,1,TOP,1,30
000030,medicine,620003852,5,TOP,0,40
000030,medicine,620004200,1,IV,1,50
000030,medicine,620004179,1,IV,0,60
000031,procedure,160092810,,,1,10
000031,procedure,160092970,,,1,20
000031,medicine,643310225,2,,1,30
000031,medicine,620003854,1,TOP,1,40
