layout_name,grid_row,grid_column,cell_type,item_code,display_name
内視鏡検査,1,1,label,,上部
内視鏡検査,1,2,item,000001,EGD(経口)
内視鏡検査,1,3,item,000002,EGD(経鼻)
内視鏡検査,1,4,item,000003,EGD(鎮静)
内視鏡検査,1,5,item,000004,緊急EGD
内視鏡検査,1,6,item,000005,EF-食道
内視鏡検査,1,7,item,000006,EUS(上部)
内視鏡検査,2,1,label,,下部
内視鏡検査,2,2,item,000016,CS(全大腸)
内視鏡検査,2,3,item,000017,CS(横行まで)
内視鏡検査,2,4,item,000018,CS(S状)
内視鏡検査,2,5,item,000019,緊急CS
内視鏡検査,2,6,item,000021,直腸鏡
内視鏡検査,2,7,item,000022,肛門鏡
内視鏡検査,3,1,label,,小腸・カプセル
内視鏡検査,3,2,item,000014,バルーン小腸
内視鏡検査,3,3,item,000015,カプセル小腸
内視鏡検査,3,4,item,000020,カプセル大腸
内視鏡検査,3,5,item,000023,EF-直腸
内視鏡検査,3,6,item,S00002,直腸鏡+肛門鏡
内視鏡検査,4,1,label,,胆膵
内視鏡検査,4,2,item,000028,ERCP
内視鏡検査,5,1,label,,呼吸器
内視鏡検査,5,2,item,000033,BF
内視鏡検査,5,3,item,000034,BAL
内視鏡検査,5,4,item,000035,EBUS
内視鏡検査,6,1,label,,耳鼻科・泌尿器
内視鏡検査,6,2,item,000036,喉頭内視鏡
内視鏡検査,6,3,item,000037,鼻咽腔内視鏡
内視鏡検査,6,4,item,000038,嚥下内視鏡
内視鏡検査,6,5,item,000039,膀胱鏡
内視鏡治療,1,1,label,,上部治療
内視鏡治療,1,2,item,000007,胃EMR
内視鏡治療,1,3,item,000008,胃ESD
内視鏡治療,1,4,item,000009,食道ESD
内視鏡治療,1,5,item,000011,EVL
内視鏡治療,1,6,item,000012,異物摘出
内視鏡治療,1,7,item,000013,PEG
内視鏡治療,2,1,label,,下部治療
内視鏡治療,2,2,item,000024,大腸EMR
内視鏡治療,2,3,item,000025,大腸EMR(2cm以上)
内視鏡治療,2,4,item,000026,結腸異物摘出
内視鏡治療,3,1,label,,胆膵治療
内視鏡治療,3,2,item,000029,EST
内視鏡治療,3,3,item,000030,ENBD
内視鏡治療,3,4,item,000031,胆道ステント
内視鏡治療,3,5,item,000032,胆道結石除去
内視鏡治療,4,1,label,,止血(緊急)
内視鏡治療,4,2,item,S00001,緊急EGD+止血
内視鏡治療,4,3,item,000010,止血術
内視鏡治療,4,4,item,000027,下部止血術
内視鏡治療,4,5,item,000019,緊急CS
