layout_name,grid_row,grid_column,cell_type,order_item_code,display_name
外来伝票,1,1,label,,血球系
外来伝票,1,2,item,160008010,血算
外来伝票,1,3,item,160191510,血液像(自動)
外来伝票,1,4,item,160007910,レチクロ
外来伝票,1,5,item,160007610,赤沈
外来伝票,1,6,item,160007710,好酸球数
外来伝票,1,7,item,160010010,HbA1c
外来伝票,2,1,label,,凝固
外来伝票,2,2,item,160012010,PT
外来伝票,2,3,item,160012310,APTT
外来伝票,2,4,item,160191610,Fib
外来伝票,2,5,item,160114010,D-ダイマー
外来伝票,2,6,item,160191910,FDP
外来伝票,2,7,item,160113510,AT活性
外来伝票,3,1,label,,肝機能
外来伝票,3,2,item,160017410,TP
外来伝票,3,3,item,160018910,Alb
外来伝票,3,4,item,160017010,T-Bil
外来伝票,3,5,item,160017110,D-Bil
外来伝票,3,6,item,160022510,AST
外来伝票,3,7,item,160022610,ALT
外来伝票,4,1,label,,肝・胆・膵
外来伝票,4,2,item,160019510,LD
外来伝票,4,3,item,160020010,ALP
外来伝票,4,4,item,160020410,γ-GT
外来伝票,4,5,item,160020210,ChE
外来伝票,4,6,item,160020310,AMY
外来伝票,4,7,item,160024010,LIP
外来伝票,5,1,label,,腎・電解質
外来伝票,5,2,item,160019010,BUN
外来伝票,5,3,item,160019210,Cre
外来伝票,5,4,item,160019310,UA
外来伝票,5,5,item,160021110,Na・Cl
外来伝票,5,6,item,160021410,K
外来伝票,5,7,item,160021510,Ca
外来伝票,6,1,label,,電解質他
外来伝票,6,2,item,160021810,IP
外来伝票,6,3,item,160022210,Mg
外来伝票,6,4,item,160022110,Fe
外来伝票,6,5,item,160023610,TIBC
外来伝票,6,6,item,160023710,UIBC
外来伝票,6,7,item,160192510,フェリチン
外来伝票,7,1,label,,糖・脂質
外来伝票,7,2,item,160019410,Glu
外来伝票,7,3,item,160151050,GA
外来伝票,7,4,item,160022410,T-cho
外来伝票,7,5,item,160020910,TG
外来伝票,7,6,item,160023410,HDL-C
外来伝票,7,7,item,160167250,LDL-C
外来伝票,8,1,label,,心・炎症
外来伝票,8,2,item,160054710,CRP
外来伝票,8,3,item,160020610,CK
外来伝票,8,4,item,160114710,CK-MB
外来伝票,8,5,item,160171750,TnI
外来伝票,8,6,item,160162350,BNP
外来伝票,8,7,item,160192810,PCT
外来伝票,9,1,label,,尿・便
外来伝票,9,2,item,160000310,尿一般
外来伝票,9,3,item,160005010,尿沈渣
外来伝票,9,4,item,160176350,U-P/C比
外来伝票,9,5,item,160004810-01,U-A/C比
外来伝票,9,6,item,160006810,便潜血(定量)
外来伝票,9,7,item,160006510,便潜血(定性)
外来伝票,10,1,label,,セット
外来伝票,10,2,item,SET-01,生化セット
外来伝票,10,3,item,SET-02,肝機能セット
外来伝票,10,4,item,SET-03,腎機能セット
外来伝票,10,5,item,SET-04,脂質セット
外来伝票,10,6,item,SET-05,凝固セット
外来伝票,10,7,item,SET-08,糖尿病セット
入院・術前伝票,1,1,label,,セット
入院・術前伝票,1,2,item,SET-06,術前セット
入院・術前伝票,1,3,item,SET-07,入院時スクリーニング
入院・術前伝票,1,4,item,SET-12,感染症スクリーニング
入院・術前伝票,1,5,item,SET-11,血液型検査
入院・術前伝票,1,6,item,SET-01,生化セット
入院・術前伝票,1,7,item,SET-05,凝固セット
入院・術前伝票,2,1,label,,血算・凝固
入院・術前伝票,2,2,item,160008010,血算
入院・術前伝票,2,3,item,160191510,血液像(自動)
入院・術前伝票,2,4,item,160012010,PT
入院・術前伝票,2,5,item,160012310,APTT
入院・術前伝票,2,6,item,160191610,Fib
入院・術前伝票,2,7,item,160114010,D-ダイマー
入院・術前伝票,3,1,label,,肝・蛋白
入院・術前伝票,3,2,item,160017410,TP
入院・術前伝票,3,3,item,160018910,Alb
入院・術前伝票,3,4,item,160022510,AST
入院・術前伝票,3,5,item,160022610,ALT
入院・術前伝票,3,6,item,160019510,LD
