order_item_code,result_item_code,display_order
160005010,160005010-01,10
160005010,160005010-02,20
160005010,160005010-03,30
160005010,160005010-04,40
160005010,160005010-05,50
160159550,160159550-01,10
160159550,160159550-02,20
160159550,160159550-03,30
160159550,160159550-04,40
160159550,160159550-05,50
160022810,160022810-01,10
160022810,160022810-02,20
160022810,160022810-03,30
160022810,160022810-04,40
160022810,160022810-05,50
160022810,160022810-06,60
160027710,160027710-01,10
160027710,160027710-02,20
160027710,160027710-03,30
160027710,160027710-04,40
160027710,160027710-05,50
160027710,160027710-06,60
160060910,160060910-01,10
160060910,160060910-02,20
160060910,160060910-03,30
160060910,160060910-04,40
160061110,160061110-01,10
160061110,160061110-02,20
160061110,160061110-03,30
160061110,160061110-04,40
