order_item_code,name,short_name,name_kana,category,specimen_code,container_code,kind,jlac_code,jlac_code_system,execution_type,receipt_code,display_order
160000310,尿一般検査,尿一般,ニョウイッパンケンサ,尿・糞便等検査,100,,panel,,,,160000310,10
160000310-01,尿pH,U-pH,ニョウピーエイチ,尿・糞便等検査,100,,single,,,,160000310,20
160000310-02,尿比重,U-SG,ニョウヒジュウ,尿・糞便等検査,100,,single,,,,160000310,30
160000310-03,尿蛋白(定性),U-TP,ニョウタンパク,尿・糞便等検査,100,,single,C1002000010000085,jlac11,,160000310,40
160000310-04,尿糖(定性),U-Glu,ニョウトウ,尿・糞便等検査,100,,single,C4001000010000085,jlac11,,160000310,50
160000310-05,尿潜血,U-OB,ニョウセンケツ,尿・糞便等検査,100,,single,A2007000010000085,jlac11,,160000310,60
160000310-06,ウロビリノゲン,U-URO,ウロビリノゲン,尿・糞便等検査,100,,single,,,,160000310,70
160000310-07,尿ケトン体,U-KET,ニョウケトンタイ,尿・糞便等検査,100,,single,,,,160000310,80
160000310-08,尿ビリルビン,U-BIL,ニョウビリルビン,尿・糞便等検査,100,,single,,,,160000310,90
160000310-09,亜硝酸塩,U-NIT,アショウサンエン,尿・糞便等検査,100,,single,,,,160000310,100
160000310-10,白血球反応,U-LEU,ハッケッキュウハンノウ,尿・糞便等検査,100,,single,,,,160000310,110
160005010,尿沈渣(鏡検法),尿沈渣,ニョウチンサ,尿・糞便等検査,100,,single,,,,160005010,120
160159550,尿沈渣(フローサイトメトリー法),尿沈渣FCM,ニョウチンサ,尿・糞便等検査,100,,single,,,,160159550,130
160000410,尿蛋白(定量),U-TP定量,ニョウタンパクテイリョウ,尿・糞便等検査,100,,single,,,,160000410,140
160176350,尿中蛋白/クレアチニン比(P/C比),U-P/C比,ニョウチュウタンパククレアチニンヒ,尿・糞便等検査,100,,single,C1010000010000087,jlac11,,160176350,150
160004810,尿中アルブミン(定量),U-Alb,ニョウチュウアルブミン,尿・糞便等検査,100,,single,,,,160004810,160
160004810-01,尿中アルブミン/クレアチニン比(A/C比),U-A/C比,ニョウチュウアルブミンクレアチニンヒ,尿・糞便等検査,100,,single,C1009000010000087,jlac11,,160004810,170
160003910,尿浸透圧,尿浸透圧,ニョウシントウアツ,尿・糞便等検査,100,,single,,,,160003910,180
160004110,NAG(尿),U-NAG,エヌエージー,尿・糞便等検査,100,,single,,,,160004110,190
160006510,糞便中ヘモグロビン定性,便潜血(定性),ベンセンケツテイセイ,尿・糞便等検査,190,,single,,,,160006510,200
160006810,糞便中ヘモグロビン,便潜血(定量),ベンセンケツテイリョウ,尿・糞便等検査,190,,single,,,,160006810,210
160005510,糞便塗抹,便塗抹,ベントマツ,尿・糞便等検査,190,,single,,,,160005510,220
160005710,虫卵検出(集卵法),虫卵,チュウランケンシュツ,尿・糞便等検査,190,,single,,,,160005710,230
