panel_item_code,member_item_code,member_type,display_order
160000310,160000310-01,required,10
160000310,160000310-02,required,20
160000310,160000310-03,required,30
160000310,160000310-04,required,40
160000310,160000310-05,required,50
160000310,160000310-06,required,60
160000310,160000310-07,required,70
160000310,160000310-08,required,80
160000310,160000310-09,optional,90
160000310,160000310-10,optional,100
160008010,160008010-01,required,10
160008010,160008010-02,required,20
160008010,160008010-03,required,30
160008010,160008010-04,required,40
160008010,160008010-05,required,50
160008010,160008010-06,optional,60
160008010,160008010-07,optional,70
160008010,160008010-08,optional,80
160191510,160191510-01,required,10
160191510,160191510-02,required,20
160191510,160191510-03,required,30
160191510,160191510-04,required,40
160191510,160191510-05,required,50
160008210,160191510-01,required,10
160008210,160191510-02,required,20
160008210,160191510-03,required,30
160008210,160191510-04,required,40
160008210,160191510-05,required,50
160008210,160008210-01,required,60
160008210,160008210-02,optional,70
160012010,160012010-01,required,10
160012010,160012010-02,required,20
160012010,160012010-03,required,30
160012010,160012010-04,optional,40
160021110,160021110-01,required,10
160021110,160021110-02,required,20
SET-01,160017410,required,10
SET-01,160018910,required,20
SET-01,160017010,required,30
SET-01,160022510,required,40
SET-01,160022610,required,50
SET-01,160019510,required,60
SET-01,160020010,required,70
SET-01,160020410,required,80
SET-01,160019010,required,90
SET-01,160019210,required,100
SET-01,160019310,required,110
SET-01,160021110,required,120
SET-01,160021410,required,130
SET-01,160019410,required,140
SET-01,160022410,required,150
SET-01,160020910,required,160
SET-01,160023410,required,170
SET-01,160167250,required,180
SET-01,160020610,required,190
SET-01,160020310,required,200
SET-01,160054710,required,210
SET-02,160017410,required,10
SET-02,160018910,required,20
SET-02,160017010,required,30
SET-02,160017110,required,40
SET-02,160022510,required,50
SET-02,160022610,required,60
SET-02,160019510,required,70
SET-02,160020010,required,80
SET-02,160020410,required,90
SET-02,160020210,required,100
SET-03,160019010,required,10
SET-03,160019210,required,20
SET-03,160019310,required,30
SET-03,160021110,required,40
SET-03,160021410,required,50
SET-03,160021510,required,60
SET-03,160021810,required,70
SET-03,160177250,optional,80
SET-04,160022410,required,10
SET-04,160020910,required,20
SET-04,160023410,required,30
SET-04,160167250,required,40
SET-05,160012010,required,10
SET-05,160012310,required,20
SET-05,160191610,required,30
SET-05,160114010,required,40
SET-06,160008010,required,10
SET-06,SET-05,required,20
SET-06,SET-01,required,30
SET-06,SET-11,required,40
SET-06,160161410,required,50
SET-06,SET-12,required,60
SET-06,160027710,optional,70
SET-07,160008010,required,10
SET-07,SET-01,required,20
SET-07,160000310,required,30
SET-07,160005010,required,40
SET-07,SET-12,optional,50
SET-08,160019410,required,10
SET-08,160010010,required,20
SET-08,160000310,required,30
SET-08,160004810-01,required,40
SET-08,160022410,required,50
SET-08,160020910,required,60
SET-08,160023410,required,70
SET-08,160167250,required,80
SET-08,160019210,required,90
SET-09,160031710,required,10
SET-09,160033310,required,20
SET-09,160033210,required,30
SET-10,160008010,required,10
SET-10,160007910,required,20
SET-10,160022110,required,30
SET-10,160023610,required,40
SET-10,160023710,required,50
SET-10,160192510,required,60
SET-10,160029710,optional,70
SET-10,160115310,optional,80
SET-11,160039110,required,10
SET-11,160039210,required,20
SET-12,160046810,required,10
SET-12,160049510,required,20
SET-12,160118510,required,30
SET-12,160039810,required,40
SET-12,160040910,required,50
SET-12,160194710,required,60
