result_item_code,sex,age_from,age_to,lower_limit,upper_limit,display_order,note
160008010-01,,,,3.3,8.6,10,JCCLS共用基準範囲
160008010-02,male,,,4.35,5.55,10,JCCLS共用基準範囲
160008010-02,female,,,3.86,4.92,20,JCCLS共用基準範囲
160008010-03,male,,,13.7,16.8,10,JCCLS共用基準範囲
160008010-03,female,,,11.6,14.8,20,JCCLS共用基準範囲
160008010-04,male,,,40.7,50.1,10,JCCLS共用基準範囲
160008010-04,female,,,35.1,44.4,20,JCCLS共用基準範囲
160008010-05,,,,158,348,10,JCCLS共用基準範囲
160008010-06,,,,83.6,98.2,10,JCCLS共用基準範囲
160008010-07,,,,27.5,33.2,10,JCCLS共用基準範囲
160008010-08,,,,31.7,35.3,10,JCCLS共用基準範囲
160017410,,,,6.6,8.1,10,JCCLS共用基準範囲
160018910,,,,4.1,5.1,10,JCCLS共用基準範囲
160017010,,,,0.4,1.5,10,JCCLS共用基準範囲
160022510,,,,13,30,10,JCCLS共用基準範囲
160022610,male,,,10,42,10,JCCLS共用基準範囲
160022610,female,,,7,23,20,JCCLS共用基準範囲
160019510,,,,124,222,10,JCCLS共用基準範囲
160020010,,,,38,113,10,JCCLS共用基準範囲(IFCC法)
160020410,male,,,13,64,10,JCCLS共用基準範囲
160020410,female,,,9,32,20,JCCLS共用基準範囲
160019010,,,,8,20,10,JCCLS共用基準範囲
160019210,male,,,0.65,1.07,10,JCCLS共用基準範囲
160019210,female,,,0.46,0.79,20,JCCLS共用基準範囲
160019310,male,,,3.7,7.8,10,JCCLS共用基準範囲
160019310,female,,,2.6,5.5,20,JCCLS共用基準範囲
160021110-01,,,,138,145,10,JCCLS共用基準範囲
160021410,,,,3.6,4.8,10,JCCLS共用基準範囲
160021110-02,,,,101,108,10,JCCLS共用基準範囲
160021510,,,,8.8,10.1,10,JCCLS共用基準範囲
160019410,,,,73,109,10,JCCLS共用基準範囲
160022410,,,,142,248,10,JCCLS共用基準範囲
160020910,male,,,40,234,10,JCCLS共用基準範囲
160020910,female,,,30,117,20,JCCLS共用基準範囲
160023410,male,,,38,90,10,JCCLS共用基準範囲
160023410,female,,,48,103,20,JCCLS共用基準範囲
160167250,,,,65,163,10,JCCLS共用基準範囲
160020610,male,,,59,248,10,JCCLS共用基準範囲
160020610,female,,,41,153,20,JCCLS共用基準範囲
160020310,,,,44,132,10,JCCLS共用基準範囲
160054710,,,,0,0.14,10,JCCLS共用基準範囲
160010010,,,,4.9,6.0,10,JCCLS共用基準範囲(NGSP)
160017110,,,,0,0.4,10,JCCLS共用基準範囲
160020210,male,,,240,486,10,JCCLS共用基準範囲
160020210,female,,,201,421,20,JCCLS共用基準範囲
160021810,,,,2.7,4.6,10,JCCLS共用基準範囲
160022210,,,,1.8,2.4,10,参考値
160022110,male,,,40,188,10,JCCLS共用基準範囲
160022110,female,,,40,180,20,JCCLS共用基準範囲
160023610,male,,,253,365,10,JCCLS共用基準範囲
160023610,female,,,246,410,20,JCCLS共用基準範囲
160192510,male,,,21,282,10,JCCLS共用基準範囲
160192510,female,,,5,157,20,JCCLS共用基準範囲
160177250,male,,,0.63,0.95,10,参考値
160177250,female,,,0.56,0.87,20,参考値
160151050,,,,11,16,10,参考値
160142350,,,,14,,10,参考値(14以上)
160025910,,,,12,66,10,参考値
160025610,,,,4,16,10,参考値(静脈血)
160024010,,,,13,55,10,参考値(測定法で幅がある)
160114710,,,,,5,10,代表的なカットオフ値
160171750,,,,,0.04,10,代表的なカットオフ値
160162350,,,,,18.4,10,代表的なカットオフ値
160181250,,,,,125,10,代表的なカットオフ値
160192810,,,,,0.05,10,代表的なカットオフ値
160168550,,,,,500,10,代表的なカットオフ値
160029710,,,,233,914,10,参考値
160115310,,,,3.6,12.9,10,参考値
160022810-01,,,,60.5,73.2,10,参考値(セルロースアセテート膜法)
160022810-02,,,,1.7,2.9,10,参考値(セルロースアセテート膜法)
160022810-03,,,,5.3,8.8,10,参考値(セルロースアセテート膜法)
160022810-04,,,,6.4,10.4,10,参考値(セルロースアセテート膜法)
160022810-05,,,,11,21.1,10,参考値(セルロースアセテート膜法)
160022810-06,,,,1.3,2,10,参考値
160027710-01,,,,7.35,7.45,10,参考値(動脈血)
160027710-02,,,,35,45,10,参考値(動脈血)
160027710-03,,,,80,100,10,参考値(動脈血)
160027710-04,,,,22,26,10,参考値(動脈血)
160027710-05,,,,-2,2,10,参考値(動脈血)
160027710-06,,,,95,98,10,参考値(動脈血)
160191510-01,,,,40,70,10,参考値
160191510-02,,,,25,45,10,参考値
160191510-03,,,,2,8,10,参考値
160191510-04,,,,1,5,10,参考値
160191510-05,,,,0,1,10,参考値
160008210-01,,,,0,8,10,参考値
160007610,male,,,2,10,10,参考値
160007610,female,,,3,15,20,参考値
160007910,,,,0.5,2,10,参考値
160007710,,,,70,440,10,参考値
160012010-02,,,,70,130,10,参考値(試薬依存のため要確認)
160012010-03,,,,0.85,1.15,10,参考値(試薬依存のため要確認)
160012010-04,,,,0.85,1.15,10,参考値(試薬依存のため要確認)
160012310,,,,24,39,10,参考値(試薬依存のため要確認)
160191610,,,,200,400,10,参考値
160114010,,,,,1,10,代表的なカットオフ値
160191910,,,,,5,10,代表的なカットオフ値
160113510,,,,80,130,10,参考値
160114210,,,,,4,10,代表的なカットオフ値
160113910,,,,85,115,10,参考値
160000310-01,,,,5,7.5,10,参考値
160000310-02,,,,1.005,1.03,10,参考値
160176350,,,,,150,10,代表的なカットオフ値(蛋白尿の基準)
160004810-01,,,,,30,10,代表的なカットオフ値(微量アルブミン尿の基準)
160061110-02,,,,0,5,10,参考値
160061110-03,,,,15,45,10,参考値
160061110-04,,,,50,75,10,参考値
160060910-01,,,,1.5,,10,WHO精液検査マニュアル第5版の下限基準値
160060910-02,,,,15,,10,WHO精液検査マニュアル第5版の下限基準値
160060910-03,,,,40,,10,WHO精液検査マニュアル第5版の下限基準値
160060910-04,,,,4,,10,WHO精液検査マニュアル第5版の下限基準値
160055210,,,,861,1747,10,JCCLS共用基準範囲
160055010,,,,93,393,10,JCCLS共用基準範囲
160055310,male,,,33,183,10,JCCLS共用基準範囲
160055310,female,,,50,269,20,JCCLS共用基準範囲
160124350,,,,73,138,10,JCCLS共用基準範囲
160124450,,,,11,31,10,JCCLS共用基準範囲
160054910,,,,30,46,10,参考値
160036610,,,,0.9,1.9,10,参考値(血清)
160195610,,,,,15,10,代表的なカットオフ値
160173150,male,,,36.9,121,10,参考値
160173150,female,,,17.3,59.7,20,参考値
160197910,,,,,173,10,代表的なカットオフ値
160160250,,,,,8,10,代表的なカットオフ値
160036710,,,,,10,10,代表的なカットオフ値
160036510,,,,,5,10,代表的なカットオフ値
160037510,,,,,4,10,代表的なカットオフ値
160037210,,,,,37,10,代表的なカットオフ値
160038010,,,,,35,10,代表的なカットオフ値
160037310,,,,,25,10,代表的なカットオフ値
160193310,,,,,40,10,代表的なカットオフ値
160162250,,,,,81,10,代表的なカットオフ値
160037910,,,,,16.3,10,代表的なカットオフ値
160158050,,,,145,519,10,代表的な基準範囲
160031710,,,,0.5,5,10,参考値
160033310,,,,0.9,1.7,10,参考値
160033210,,,,2.3,4,10,参考値
160034010,,,,4,18.3,10,参考値(早朝安静時)
160035610,,,,7.2,63.3,10,参考値(早朝安静時)
160031510,,,,1.84,12.2,10,参考値(空腹時)
160033010,,,,0.61,2.09,10,参考値(空腹時)
160035510,,,,10,65,10,参考値
160162050,,,,,5,10,代表的なカットオフ値
160032310,male,,,4.29,13.69,10,参考値
160032310,female,,,4.91,29.32,20,参考値
160125650,,,,4.2,23.7,10,参考値
160033910,male,,,1.31,8.71,10,参考値
160033910,female,,,0.11,0.47,20,参考値
