result_item_code,display_unit,ucum_unit
160024010,U/L,U/L
160114710,ng/mL,ng/mL
160021810,mg/dL,mg/dL
160022210,mg/dL,mg/dL
160022110,μg/dL,ug/dL
160023610,μg/dL,ug/dL
160023710,μg/dL,ug/dL
160192510,ng/mL,ng/mL
160151050,%,%
160142350,μg/mL,ug/mL
160025910,μg/dL,ug/dL
160025610,mg/dL,mg/dL
160171750,ng/mL,ng/mL
160192810,ng/mL,ng/mL
160168550,U/mL,U/mL
160029710,pg/mL,pg/mL
160115310,ng/mL,ng/mL
160191510-01,%,%
160191510-02,%,%
160191510-03,%,%
160191510-04,%,%
160191510-05,%,%
160008210-01,%,%
160008210-02,%,%
160007610,mm/h,mm/h
160007910,%,%
160007710,/μL,/uL
160191610,mg/dL,mg/dL
160191910,μg/mL,ug/mL
160113510,%,%
160114210,ng/mL,ng/mL
160113910,%,%
160160250,μg/mL,ug/mL
160055210,mg/dL,mg/dL
160055010,mg/dL,mg/dL
160055310,mg/dL,mg/dL
160124350,mg/dL,mg/dL
160124450,mg/dL,mg/dL
160054910,U/mL,U/mL
160036610,mg/L,mg/L
160195610,IU/mL,[IU]/mL
160173150,ng/mL,ng/mL
160197910,IU/mL,[IU]/mL
160036710,ng/mL,ng/mL
160036510,ng/mL,ng/mL
160037510,ng/mL,ng/mL
160037210,U/mL,U/mL
160038010,U/mL,U/mL
160037310,U/mL,U/mL
160193310,mAU/mL,m[arb'U]/mL
160162250,pg/mL,pg/mL
160037910,ng/mL,ng/mL
160158050,U/mL,U/mL
160031710,μIU/mL,u[IU]/mL
160033310,ng/dL,ng/dL
160033210,pg/mL,pg/mL
160034010,μg/dL,ug/dL
160035610,pg/mL,pg/mL
160031510,μU/mL,u[IU]/mL
160033010,ng/mL,ng/mL
160035510,pg/mL,pg/mL
160162050,U/mL,U/mL
160032310,ng/mL,ng/mL
160125650,mIU/mL,m[IU]/mL
160033910,ng/mL,ng/mL
160000410,mg/dL,mg/dL
160004810,mg/L,mg/L
160008010-04,%,%
160008010-06,fL,fL
160008010-07,pg,pg
160008010-08,%,%
