result_item_code,name,short_name,name_kana,category,specimen_code,data_type,display_unit,ucum_unit,code_value_list,value_code_system,decimal_places,jlac11_code,jlac10_code,loinc_code,display_order
160005010-01,尿沈渣 赤血球,沈渣RBC,ニョウチンサセッケッキュウ,尿・糞便等検査,100,CO,/HPF,,1：1未満/HPF、2：1-4/HPF、3：5-9/HPF、4：10-19/HPF、5：20-29/HPF、6：30-49/HPF、7：50-99/HPF、8：100以上/HPF,,,,,,10
160005010-02,尿沈渣 白血球,沈渣WBC,ニョウチンサハッケッキュウ,尿・糞便等検査,100,CO,/HPF,,1：1未満/HPF、2：1-4/HPF、3：5-9/HPF、4：10-19/HPF、5：20-29/HPF、6：30-49/HPF、7：50-99/HPF、8：100以上/HPF,,,,,,20
160005010-03,尿沈渣 扁平上皮細胞,沈渣扁平上皮,ニョウチンサヘンペイジョウヒサイボウ,尿・糞便等検査,100,CO,/HPF,,1：1未満/HPF、2：1-4/HPF、3：5-9/HPF、4：10-19/HPF、5：20-29/HPF、6：30以上/HPF,,,,,,30
160005010-04,尿沈渣 硝子円柱,沈渣硝子円柱,ニョウチンサショウシエンチュウ,尿・糞便等検査,100,CO,/LPF,,1：1未満/LPF、2：1-4/LPF、3：5-9/LPF、4：10-19/LPF、5：20以上/LPF,,,,,,40
160005010-05,尿沈渣 細菌,沈渣細菌,ニョウチンササイキン,尿・糞便等検査,100,CO,,,1：(-)、2：(±)、3：(1+)、4：(2+)、5：(3+),,,,,,50
160159550-01,尿沈渣(FCM) 赤血球,FCM-RBC,ニョウチンサセッケッキュウ,尿・糞便等検査,100,PQ,/μL,/uL,,,1,,,,10
160159550-02,尿沈渣(FCM) 白血球,FCM-WBC,ニョウチンサハッケッキュウ,尿・糞便等検査,100,PQ,/μL,/uL,,,1,,,,20
160159550-03,尿沈渣(FCM) 上皮細胞,FCM-EC,ニョウチンサジョウヒサイボウ,尿・糞便等検査,100,PQ,/μL,/uL,,,1,,,,30
160159550-04,尿沈渣(FCM) 円柱,FCM-CAST,ニョウチンサエンチュウ,尿・糞便等検査,100,PQ,/μL,/uL,,,2,,,,40
160159550-05,尿沈渣(FCM) 細菌,FCM-BACT,ニョウチンササイキン,尿・糞便等検査,100,PQ,/μL,/uL,,,1,,,,50
160022810-01,蛋白分画 アルブミン,Alb分画,タンパクブンカクアルブミン,生化学検査,250,PQ,%,%,,,1,,,,10
160022810-02,蛋白分画 α1グロブリン,α1-G,タンパクブンカクアルファワングロブリン,生化学検査,250,PQ,%,%,,,1,,,,20
160022810-03,蛋白分画 α2グロブリン,α2-G,タンパクブンカクアルファツーグロブリン,生化学検査,250,PQ,%,%,,,1,,,,30
160022810-04,蛋白分画 βグロブリン,β-G,タンパクブンカクベータグロブリン,生化学検査,250,PQ,%,%,,,1,,,,40
160022810-05,蛋白分画 γグロブリン,γ-G,タンパクブンカクガンマグロブリン,生化学検査,250,PQ,%,%,,,1,,,,50
160022810-06,A/G比,A/G,エージーヒ,生化学検査,250,PQ,,,,,2,,,,60
160027710-01,血液ガス pH,pH,ケツエキガスピーエイチ,生化学検査,223,PQ,,[pH],,,3,,,,10
160027710-02,血液ガス PCO2,PCO2,ケツエキガスピーシーオーツー,生化学検査,223,PQ,mmHg,mm[Hg],,,1,,,,20
160027710-03,血液ガス PO2,PO2,ケツエキガスピーオーツー,生化学検査,223,PQ,mmHg,mm[Hg],,,1,,,,30
160027710-04,血液ガス HCO3-,HCO3,ケツエキガスジュウタンサンイオン,生化学検査,223,PQ,mmol/L,mmol/L,,,1,,,,40
160027710-05,血液ガス BE,BE,ケツエキガスベースエクセス,生化学検査,223,PQ,mmol/L,mmol/L,,,1,,,,50
160027710-06,血液ガス SO2,SO2,ケツエキガスサンソホウワド,生化学検査,223,PQ,%,%,,,1,,,,60
160060910-01,精液量,精液量,セイエキリョウ,尿・糞便等検査,335,PQ,mL,mL,,,1,,,,10
160060910-02,精子濃度,精子濃度,セイシノウド,尿・糞便等検査,335,PQ,×10^6/mL,10*6/mL,,,1,,,,20
160060910-03,精子運動率,運動率,セイシウンドウリツ,尿・糞便等検査,335,PQ,%,%,,,0,,,,30
160060910-04,精子正常形態率,正常形態率,セイシセイジョウケイタイリツ,尿・糞便等検査,335,PQ,%,%,,,0,,,,40
160061110-01,髄液 外観,髄液外観,ズイエキガイカン,尿・糞便等検査,410,ST,,,,,,,,,10
160061110-02,髄液 細胞数,髄液細胞数,ズイエキサイボウスウ,尿・糞便等検査,410,PQ,/μL,/uL,,,0,,,,20
160061110-03,髄液 蛋白,髄液蛋白,ズイエキタンパク,尿・糞便等検査,410,PQ,mg/dL,mg/dL,,,0,,,,30
160061110-04,髄液 糖,髄液糖,ズイエキトウ,尿・糞便等検査,410,PQ,mg/dL,mg/dL,,,0,,,,40
