item_code,name,name_kana,kind,display_order
105AA,米飯120g,ベイハン120,staple,110
105AB,米飯150g,ベイハン150,staple,120
105AG,米飯180g,ベイハン180,staple,130
105AH,米飯200g,ベイハン200,staple,140
105AJ,軟飯180g,ナンハン180,staple,150
105AK,全粥,ゼンガユ,staple,160
105AL,七分粥,シチブガユ,staple,170
105AM,五分粥,ゴブガユ,staple,180
105AN,三分粥,サンブガユ,staple,190
105AP,重湯,オモユ,staple,200
105AQ,パン(6枚切2枚),パン,staple,210
105AR,ロールパン2個,ロールパン,staple,220
105AS,うどん,ウドン,staple,230
105AT,おにぎり2個,オニギリ,staple,240
F01,軟菜,ナンサイ,side_dish_form,310
F02,きざみ,キザミ,side_dish_form,320
F03,極きざみ,ゴクキザミ,side_dish_form,330
F04,ミキサー,ミキサー,side_dish_form,340
F05,一口大,ヒトクチダイ,side_dish_form,350
F06,ソフト食,ソフトショク,side_dish_form,360
F07,とろみ付き,トロミツキ,side_dish_form,370
