code,name,abbreviation
1201,ベンジルペニシリン,PCG
1216,アンピシリン,ABPC
1281,スルバクタム・アンピシリン,SBT/ABPC
1266,ピペラシリン,PIPC
1282,タゾバクタム・ピペラシリン,TAZ/PIPC
1537,セファゾリン,CEZ
1546,セフォチアム,CTM
1601,セフメタゾール,CMZ
1636,セフォタキシム,CTX
1656,セフトリアキソン,CTRX
1661,セフタジジム,CAZ
1681,セフェピム,CFPM
1401,イミペネム・シラスタチン,IPM/CS
1411,メロペネム三水和物,MEPM
1821,ゲンタマイシン,GM
1816,アミカシン,AMK
1871,アルベカシン,ABK
1901,エリスロマイシン,EM
1911,クラリスロマイシン,CAM
1941,アジスロマイシン,AZM
2006,クリンダマイシン,CLDM
2121,ミノサイクリン,MINO
2301,バンコマイシン,VCM
2306,テイコプラニン,TEIC
2331,ダプトマイシン,DAP
2516,レボフロキサシン,LVFX
2521,シプロフロキサシン,CPFX
2601,ホスホマイシン,FOM
2616,リネゾリド,LZD
2726,ST合剤,ST
