code,name,icd10,display_order
00000000,外側上唇（赤唇）,C00.0,10
00000100,外側下唇（赤唇）,C00.1,20
00000200,外側口唇（赤唇）,C00.2,30
00000300,上唇粘膜,C00.3,40
00000400,下唇粘膜,C00.4,50
00000500,口唇粘膜その他,C00.5,60
00000600,唇交連,C00.6,70
00000700,口唇の境界部,C00.8,80
00000800,口唇その他,C00.9,90
00010000,舌根部,C01.9,100
00020000,舌背面,C02.0,110
00020100,舌縁,C02.1,120
00020200,舌下面,C02.2,130
00020300,舌の前2/3,C02.3,140
00020400,舌扁桃,C02.4,150
00020500,舌の境界部,C02.8,160
00020600,舌その他,C02.9,170
00030000,上顎歯肉,C03.0,180
00030100,下顎歯肉,C03.1,190
00030200,歯肉その他,C03.9,200
00040000,前部口腔底,C04.0,210
00040100,側部口腔底,C04.1,220
00040200,口腔底の境界部,C04.8,230
00040300,口腔底その他,C04.9,240
00050000,硬口蓋,C05.0,250
00050100,軟口蓋,C05.1,260
00050200,口蓋垂,C05.2,270
00050300,口蓋の境界部,C05.8,280
00050400,口蓋その他,C05.9,290
00060000,頬粘膜,C06.0,300
00060100,口腔前庭,C06.1,310
00060200,臼後部,C06.2,320
00060300,口腔の境界部,C06.8,330
00060400,口腔その他,C06.9,340
00070000,耳下腺-左,C07.9,350
00070100,耳下腺-右,C07.9,360
00080000,顎下腺-左,C08.0,370
00080100,顎下腺-右,C08.0,380
00080200,舌下腺-左,C08.1,390
00080300,舌下腺-右,C08.1,400
00080400,大唾液腺境界部-左,C08.8,410
00080500,大唾液腺境界部-右,C08.8,420
00080600,大唾液腺その他,C08.9,430
00090000,扁桃窩,C09.0,440
00090100,扁桃口蓋弓,C09.1,450
00090200,扁桃の境界部,C09.8,460
00090300,扁桃その他,C09.9,470
00100000,喉頭蓋谷,C10.0,480
00100100,喉頭蓋の前面,C10.1,490
00100200,中咽頭側壁,C10.2,500
00100300,中咽頭後壁,C10.3,510
00100400,鰓裂,C10.4,520
00100500,中咽頭の境界部,C10.8,530
00100600,中咽頭その他,C10.9,540
00110000,上咽頭上壁,C11.0,550
00110100,上咽頭後壁,C11.1,560
00110200,咽頭扁桃,C11.1,570
00110300,上咽頭側壁,C11.2,580
00110400,上咽頭前壁,C11.3,590
00110500,上咽頭の境界部,C11.8,600
00110600,上咽頭その他,C11.9,610
00120000,梨状陥凹,C12.9,620
00130000,後輪状軟骨部,C13.0,630
00130100,披裂喉頭蓋ひだ,C13.1,640
00130200,下咽頭後壁,C13.2,650
00130300,下咽頭の境界部,C13.8,660
00130400,下咽頭その他,C13.9,670
00140000,咽頭その他,C14.0,680
00140100,Waldeyer輪,C14.2,690
00140200,口唇口腔咽頭の境界部,C14.8,700
01000000,頚部食道,C15.0,710
01000100,胸部食道,C15.1,720
01000200,腹部食道,C15.2,730
01000600,食道の境界部,C15.8,740
01000700,食道その他,C15.9,750
01010000,噴門,C16.0,760
01010100,胃底部,C16.1,770
01010200,胃体部,C16.2,780
01010300,胃前庭部,C16.3,790
01010400,幽門,C16.4,800
01010500,胃小弯,C16.5,810
01010600,胃大弯,C16.6,820
01010700,胃の境界部,C16.8,830
01010800,胃その他,C16.9,840
01020000,十二指腸,C17.0,850
01020100,空腸,C17.1,860
01020200,回腸,C17.2,870
01020300,Meckel憩室,C17.3,880
01020400,小腸の境界部,C17.8,890
01020500,小腸その他,C17.9,900
01030000,盲腸,C18.0,910
01030100,虫垂,C18.1,920
01030200,上行結腸,C18.2,930
01030300,右結腸曲(肝弯曲),C18.3,940
01030400,横行結腸,C18.4,950
01030500,左結腸曲(脾弯曲),C18.5,960
01030600,下行結腸,C18.6,970
01030700,Ｓ状結腸,C18.7,980
01030800,結腸の境界部,C18.8,990
01030900,結腸その他,C18.9,1000
01040000,直腸Ｓ状結腸移行部,C19.9,1010
01050000,直腸,C20.9,1020
01060000,肛門（皮膚を除く),C21.0,1030
01060100,肛門管,C21.1,1040
01060200,総排泄腔由来部,C21.2,1050
01060300,直腸肛門肛門管境界部,C21.8,1060
01070000,肝,C22.0,1070
01070100,肝内胆管,C22.1,1080
01080000,胆嚢,C23.9,1090
01090000,肝外胆管,C24.0,1100
01090100,総胆管,C24.0,1110
01090200,胆嚢管,C24.0,1120
01090300,肝管,C24.0,1130
01090400,Vater乳頭膨大部,C24.1,1140
01090500,胆道の境界部,C24.8,1150
01090600,胆道その他,C24.9,1160
01100000,膵頭部,C25.0,1170
01100100,膵体部,C25.1,1180
01100200,膵尾部,C25.2,1190
01100300,膵管,C25.3,1200
01100400,ランゲルハンス島,C25.4,1210
01100500,膵（部位明示）,C25.7,1220
01100600,膵頚部,C25.7,1230
01100700,膵の境界部,C25.8,1240
01100800,膵その他,C25.9,1250
01110000,腸管その他,C26.0,1260
01110100,消化器系の境界部,C26.8,1270
01110200,胃腸管その他,C26.9,1280
02000000,鼻腔-左,C30.0,1290
02000100,鼻腔-右,C30.0,1300
02000200,中耳-左,C30.1,1310
02000300,中耳-右,C30.1,1320
02010000,上顎洞-左,C31.0,1330
02010100,上顎洞-右,C31.0,1340
02010200,篩骨洞-左,C31.1,1350
02010300,篩骨洞-右,C31.1,1360
02010400,前頭洞-左,C31.2,1370
02010500,前頭洞-右,C31.2,1380
02010600,蝶形骨洞-左,C31.3,1390
02010700,蝶形骨洞-右,C31.3,1400
02010800,副鼻腔の境界部-左,C31.8,1410
02010900,副鼻腔の境界部-右,C31.8,1420
02011000,副鼻腔その他,C31.9,1430
02020000,声門,C32.0,1440
02020100,声門上部,C32.1,1450
02020200,声門下部,C32.2,1460
02020300,喉頭軟骨,C32.3,1470
02020400,喉頭の境界部,C32.8,1480
02020500,喉頭その他,C32.9,1490
02030000,気管,C33.9,1500
02040000,主気管支-左,C34.0,1510
02040100,主気管支-右,C34.0,1520
02040200,肺上葉-左,C34.1,1530
02040300,肺上葉-右,C34.1,1540
02040400,肺舌区-左,C34.2,1550
02040500,肺中葉-右,C34.2,1560
02040600,肺下葉-左,C34.3,1570
02040700,肺下葉-右,C34.3,1580
02040800,肺の境界部-左,C34.8,1590
02040900,肺の境界部-右,C34.8,1600
02041000,肺その他-左,C34.9,1610
02041100,肺その他-右,C34.9,1620
02050000,胸腺,C38.0,1630
02060000,心臓,C38.1,1640
02060200,前縦隔,C38.2,1650
02060300,後縦隔,C38.3,1660
02060400,縦隔その他,C38.4,1670
02060500,胸膜-左,C38.4,1680
02060600,胸膜-右,C38.8,1690
02060900,心臓縦隔胸膜の境界部,C38.0,1700
02061200,僧帽弁,C38.0,1710
02061300,大動脈弁,C38.0,1720
02061400,三尖弁,C38.0,1730
02061500,肺動脈弁,C38.0,1740
02070000,上気道その他,C39.0,1750
02070100,呼吸器，胸腔内境界部,C39.8,1760
02070200,呼吸器系その他,C39.9,1770
03000000,上肢長骨肩甲骨，関節-左,C40.0,1780
03000100,上肢長骨肩甲骨，関節-右,C40.0,1790
03000200,上肢の短骨，関節-左,C40.1,1800
03000300,上肢の短骨，関節-右,C40.1,1810
03000400,下肢の長骨，関節-左,C40.2,1820
03000500,下肢の長骨，関節-右,C40.2,1830
03000600,下肢の短骨，関節-左,C40.3,1840
03000700,下肢の短骨，関節-右,C40.3,1850
03000800,四肢の骨関節境界部-左,C40.8,1860
03000900,四肢の骨関節境界部-右,C40.8,1870
03001000,四肢の骨関節,C40.9,1880
03010000,頭蓋骨，顔面骨，関節,C41.0,1890
03010100,上顎骨,C41.0,1900
03010200,歯（上）,C41.0,1910
03010300,下顎骨,C41.1,1920
03010400,歯（下）,C41.1,1930
03010500,脊柱,C41.2,1940
03010600,肋骨胸骨鎖骨，関節,C41.3,1950
03010700,骨盤骨仙骨尾骨，関節,C41.4,1960
03010800,骨，関節軟骨の境界部,C41.8,1970
03010900,骨，関節軟骨その他,C41.9,1980
04000000,血液,C42.0,1990
04000100,骨髄,C42.1,2000
04000200,脾,C42.2,2010
04000300,細網内皮系その他,C42.3,2020
04000400,造血系その他,C42.4,2030
05000000,口唇,C44.0,2040
05010000,上眼瞼-左,C44.1,2050
05010100,上眼瞼-右,C44.1,2060
05010200,下眼瞼-左,C44.1,2070
05010300,下眼瞼-右,C44.1,2080
05020000,耳介-左,C44.2,2090
05020100,耳介-右,C44.2,2100
05020200,外耳道-左,C44.2,2110
05020300,外耳道-右,C44.2,2120
05030000,顔面,C44.3,2130
05030100,こめかみ-左,C44.3,2140
05030200,こめかみ-右,C44.3,2150
05030300,前額部,C44.3,2160
05030400,眉間,C44.3,2170
05030600,頬部-左,C44.3,2180
05030700,頬部-右,C44.3,2190
05030800,耳前部-左,C44.3,2200
05030900,耳前部-右,C44.3,2210
