dataset_code,detail_type,code,default_selected,display_order
160068410,procedure,160068410,1,1
160069210,procedure,160069210,1,1
160069510,procedure,160069510,1,1
160069510,procedure,160244970,0,2
160069910,procedure,160069910,1,1
160070050,procedure,160070050,1,1
160198510,procedure,160198510,1,1
160072210,procedure,160072210,1,1
160072210,procedure,160072370,0,2
160072210,procedure,160182970,0,3
160072510,procedure,160072510,1,1
160072510,procedure,160072370,0,2
160072510,procedure,160182970,0,3
160160410,procedure,160160410,1,1
160160410,procedure,160072370,0,2
160198810,procedure,160198810,1,1
160198810,procedure,160072370,0,2
160165010,procedure,160165010,1,1
160165010,procedure,160072370,0,2
160165010,procedure,160182970,0,3
160213010,procedure,160213010,1,1
160213010,procedure,160072370,0,2
160150050,procedure,160150050,1,1
160170310,procedure,160170310,1,1
160207310,procedure,160207310,1,1
160062610,procedure,160062610,1,1
160062610,procedure,160146910,1,2
160062710,procedure,160062710,1,1
160062710,procedure,160146910,1,2
160064010,procedure,160064010,1,1
160064010,procedure,160146910,1,2
160198210,procedure,160198210,1,1
160198210,procedure,160146910,1,2
160063010,procedure,160063010,1,1
160063010,procedure,160146910,1,2
160178810,procedure,160178810,1,1
160075310,procedure,160075310,1,1
160075310,procedure,160075570,0,2
160075310,procedure,160147610,1,3
160075310,procedure,160207610,0,4
160187010,procedure,160187010,1,1
160187010,procedure,160147610,1,2
160119410,procedure,160119410,1,1
160245210,procedure,160245210,1,1
160076710,procedure,160076710,1,1
160076710,procedure,160245310,1,2
160076810,procedure,160076810,1,1
160076810,procedure,160245310,1,2
160076110,procedure,160076110,1,1
160076210,procedure,160076210,1,1
160071550,procedure,160071550,1,1
160183010,procedure,160183010,1,1
160207010,procedure,160207010,1,1
160078010,procedure,160078010,1,1
160147810,procedure,160147810,1,1
160175910,procedure,160175910,1,1
160171010,procedure,160171010,1,1
160076550,procedure,160076550,1,1
160079410,procedure,160079410,1,1
160155910,procedure,160155910,1,1
160231510,procedure,160231510,1,1
160073010,procedure,160073010,1,1
