dataset_code,name,name_kana,display_order
160068410,心電図（１２誘導）,ｼﾝﾃﾞﾝｽﾞ12ﾕｳﾄﾞｳ,10
160069210,負荷心電図（１２誘導）,ﾌｶｼﾝﾃﾞﾝｽﾞ,20
160069510,ホルター心電図,ﾎﾙﾀｰｼﾝﾃﾞﾝｽﾞ,30
160069910,トレッドミル負荷心肺機能検査,ﾄﾚｯﾄﾞﾐﾙ,40
160070050,心肺運動負荷試験（ＣＰＸ）,CPX,50
160198510,加算平均心電図,ｶｻﾝﾍｲｷﾝｼﾝﾃﾞﾝｽﾞ,60
160072210,超音波検査（断層撮影法）（胸腹部）,ﾁｮｳｵﾝﾊﾟｷｮｳﾌｸﾌﾞ,110
160072510,心臓超音波検査（経胸壁）,ｼﾝｴｺｰ,120
160160410,経食道心エコー,TEE,130
160198810,負荷心エコー,ﾌｶｼﾝｴｺｰ,140
160165010,超音波検査（断層撮影法）（その他）,ﾁｮｳｵﾝﾊﾟｿﾉﾀ,150
160213010,超音波検査（断層撮影法）（下肢血管）,ﾁｮｳｵﾝﾊﾟｶｼｹｯｶﾝ,160
160150050,末梢血管血行動態検査,ﾏｯｼｮｳｹｯｶﾝ,170
160170310,残尿測定検査（超音波）,ｻﾞﾝﾆｮｳｿｸﾃｲ,180
160207310,超音波エラストグラフィー,ｴﾗｽﾄ,190
160062610,肺気量分画測定,ﾊｲｷﾘｮｳﾌﾞﾝｶｸ,310
160062710,フローボリューム,ﾌﾛｰﾎﾞﾘｭｰﾑ,320
160064010,肺拡散能力検査,ﾊｲｶｸｻﾝﾉｳﾘｮｸ,330
160198210,呼吸抵抗測定,ｺｷｭｳﾃｲｺｳ,340
160063010,呼気ガス分析,ｺｷｶﾞｽ,350
160178810,終夜経皮的動脈血酸素飽和度測定,ｼｭｳﾔSpO2,360
160075310,脳波検査（８誘導以上）,EEG,410
160187010,長期脳波ビデオ同時記録検査,ﾋﾞﾃﾞｵﾉｳﾊ,420
160119410,終夜睡眠ポリグラフィー（携帯用装置）,ｶﾝｲPSG,430
160245210,終夜睡眠ポリグラフィー（フル）,PSG,440
160076710,針筋電図,ﾊﾘｷﾝﾃﾞﾝｽﾞ,510
160076810,神経伝導検査,ｼﾝｹｲﾃﾞﾝﾄﾞｳ,520
160076110,体性感覚誘発電位,SEP,530
160076210,視覚誘発電位,VEP,540
160071550,血圧脈波検査,ABI,610
160183010,２４時間自由行動下血圧測定,ABPM,620
160207010,皮膚灌流圧測定,SPP,630
160078010,標準純音聴力検査,ｼﾞｭﾝｵﾝﾁｮｳﾘｮｸ,710
160147810,標準語音聴力検査,ｺﾞｵﾝﾁｮｳﾘｮｸ,720
160175910,簡易聴力検査（気導純音）,ｶﾝｲﾁｮｳﾘｮｸ,730
160171010,耳音響放射検査（ＯＡＥ）,OAE,740
160076550,聴性脳幹反応検査,ABR,750
160079410,平衡機能検査（標準検査）,ﾍｲｺｳｷﾉｳ,760
160155910,重心動揺検査,ｼﾞｭｳｼﾝﾄﾞｳﾖｳ,770
160231510,ビデオヘッドインパルス検査,vHIT,780
160073010,サーモグラフィー検査,ｻｰﾓ,910
