layout_name,grid_row,grid_column,cell_type,item_code,display_name
生理検査 標準伝票,1,1,label,,心電図
生理検査 標準伝票,1,2,item,160068410,心電図12
生理検査 標準伝票,1,3,item,160069210,負荷心電図
生理検査 標準伝票,1,4,item,160069510,ホルター
生理検査 標準伝票,1,5,item,160069910,トレッドミル
生理検査 標準伝票,1,6,item,160070050,CPX
生理検査 標準伝票,2,1,label,,超音波
生理検査 標準伝票,2,2,item,160072210,腹部US
生理検査 標準伝票,2,3,item,160072510,心エコー
生理検査 標準伝票,2,4,item,160165010-01,頸動脈US
生理検査 標準伝票,2,5,item,160165010-02,甲状腺US
生理検査 標準伝票,2,6,item,160165010-03,乳腺US
生理検査 標準伝票,3,1,label,,超音波(続)
生理検査 標準伝票,3,2,item,160165010-04,体表US
生理検査 標準伝票,4,1,label,,呼吸機能
生理検査 標準伝票,4,2,item,160062610,スパイロ
生理検査 標準伝票,4,3,item,160062710,FV曲線
生理検査 標準伝票,4,4,item,160064010,DLCO
生理検査 標準伝票,4,5,item,160198210,呼吸抵抗
生理検査 標準伝票,5,1,label,,脳波・睡眠
生理検査 標準伝票,5,2,item,160075310,脳波
生理検査 標準伝票,5,3,item,160119410,簡易PSG
生理検査 標準伝票,6,1,label,,筋電図・誘発電位
生理検査 標準伝票,6,2,item,160076710,針筋電図
生理検査 標準伝票,6,3,item,160076810,神経伝導
生理検査 標準伝票,6,4,item,160076110,SEP
生理検査 標準伝票,6,5,item,160076210,VEP
生理検査 標準伝票,7,1,label,,血圧脈波
生理検査 標準伝票,7,2,item,160071550,ABI
生理検査 標準伝票,7,3,item,160183010,ABPM
生理検査 標準伝票,8,1,label,,聴力・平衡
生理検査 標準伝票,8,2,item,160078010,純音聴力
生理検査 標準伝票,8,3,item,160147810,語音聴力
生理検査 標準伝票,8,4,item,160175910,簡易聴力
生理検査 標準伝票,8,5,item,160171010,OAE
生理検査 標準伝票,8,6,item,160076550,ABR
生理検査 標準伝票,9,1,label,,聴力・平衡(続)
生理検査 標準伝票,9,2,item,160079410,平衡標準
生理検査 標準伝票,10,1,label,,セット
生理検査 標準伝票,10,2,item,SET-01,術前S
生理検査 標準伝票,10,3,item,SET-02,循環器S
生理検査 標準伝票,10,4,item,SET-03,呼吸機能S
生理検査 標準伝票,10,5,item,SET-04,めまいS
生理検査 標準伝票,10,6,item,SET-05,神経伝導S
