item_code,name,short_name,name_kana,kind,exam_type_code,receipt_code,dataset_code,requires_perform_input,display_order
160068410,心電図検査（１２誘導）,ECG12,ｼﾝﾃﾞﾝｽﾞ12ﾕｳﾄﾞｳ,single,01,160068410,160068410,1,10
160069210,負荷心電図検査（１２誘導）,負荷ECG,ﾌｶｼﾝﾃﾞﾝｽﾞ,single,01,160069210,160069210,1,20
160069510,ホルター心電図検査,ホルター,ﾎﾙﾀｰｼﾝﾃﾞﾝｽﾞ,single,01,160069510,160069510,1,30
160069910,トレッドミル負荷心肺機能検査,トレッドミル,ﾄﾚｯﾄﾞﾐﾙﾌｶｼﾝﾊﾟｲｷﾉｳ,single,01,160069910,160069910,1,40
160070050,心肺運動負荷試験（ＣＰＸ）,CPX,ｼﾝﾊﾟｲｳﾝﾄﾞｳﾌｶｼｹﾝ,single,01,160070050,160070050,1,50
160198510,加算平均心電図（心室遅延電位）,SAECG,ｶｻﾝﾍｲｷﾝｼﾝﾃﾞﾝｽﾞ,single,01,160198510,160198510,1,60
160072210,腹部超音波検査,腹部US,ﾌｸﾌﾞﾁｮｳｵﾝﾊﾟ,single,02,160072210,160072210,1,110
160072510,心臓超音波検査（経胸壁）,心エコー,ｼﾝｿﾞｳﾁｮｳｵﾝﾊﾟ,single,02,160072510,160072510,1,120
160160410,経食道心エコー検査,TEE,ｹｲｼｮｸﾄﾞｳｼﾝｴｺｰ,single,02,160160410,160160410,1,130
160198810,負荷心エコー検査,負荷心エコー,ﾌｶｼﾝｴｺｰ,single,02,160198810,160198810,1,140
160165010-01,頸動脈超音波検査,頸動脈US,ｹｲﾄﾞｳﾐｬｸﾁｮｳｵﾝﾊﾟ,single,02,160165010,160165010,1,150
160165010-02,甲状腺超音波検査,甲状腺US,ｺｳｼﾞｮｳｾﾝﾁｮｳｵﾝﾊﾟ,single,02,160165010,160165010,1,160
160165010-03,乳腺超音波検査,乳腺US,ﾆｭｳｾﾝﾁｮｳｵﾝﾊﾟ,single,02,160165010,160165010,1,170
160165010-04,体表・軟部超音波検査,体表US,ﾀｲﾋｮｳﾅﾝﾌﾞﾁｮｳｵﾝﾊﾟ,single,02,160165010,160165010,1,180
160213010-01,下肢静脈超音波検査,下肢静脈US,ｶｼｼﾞｮｳﾐｬｸﾁｮｳｵﾝﾊﾟ,single,02,160213010,160213010,1,190
160213010-02,下肢動脈超音波検査,下肢動脈US,ｶｼﾄﾞｳﾐｬｸﾁｮｳｵﾝﾊﾟ,single,02,160213010,160213010,1,200
160150050,末梢血管血行動態検査（ドプラ法）,末梢ドプラ,ﾏｯｼｮｳｹｯｶﾝｹｯｺｳﾄﾞｳﾀｲ,single,02,160150050,160150050,1,210
160170310,残尿測定検査（超音波）,残尿測定,ｻﾞﾝﾆｮｳｿｸﾃｲ,single,02,160170310,160170310,1,220
160207310,超音波エラストグラフィー,エラスト,ﾁｮｳｵﾝﾊﾟｴﾗｽﾄｸﾞﾗﾌｨｰ,single,02,160207310,160207310,1,230
160062610,スパイロメトリー（肺気量分画測定）,スパイロ,ｽﾊﾟｲﾛﾒﾄﾘｰ,single,03,160062610,160062610,1,310
160062710,フローボリューム曲線,FV曲線,ﾌﾛｰﾎﾞﾘｭｰﾑ,single,03,160062710,160062710,1,320
160064010,肺拡散能力検査（ＤＬＣＯ）,DLCO,ﾊｲｶｸｻﾝﾉｳﾘｮｸｹﾝｻ,single,03,160064010,160064010,1,330
160198210,呼吸抵抗測定（オシレーション法）,呼吸抵抗,ｺｷｭｳﾃｲｺｳｿｸﾃｲ,single,03,160198210,160198210,1,340
160063010,呼気ガス分析,呼気ガス,ｺｷｶﾞｽﾌﾞﾝｾｷ,single,03,160063010,160063010,1,350
160178810,終夜経皮的動脈血酸素飽和度測定,終夜SpO2,ｼｭｳﾔｹｲﾋﾃｷﾄﾞｳﾐｬｸｹﾂｻﾝｿ,single,03,160178810,160178810,1,360
160075310,脳波検査（８誘導以上）,EEG,ﾉｳﾊｹﾝｻ,single,04,160075310,160075310,1,410
160187010,長期脳波ビデオ同時記録検査,ビデオ脳波,ﾁｮｳｷﾉｳﾊﾋﾞﾃﾞｵ,single,04,160187010,160187010,1,420
160119410,終夜睡眠ポリグラフィー（携帯用装置）,簡易PSG,ｼｭｳﾔｽｲﾐﾝﾎﾟﾘｸﾞﾗﾌｨｰｶﾝｲ,single,04,160119410,160119410,1,430
160245210,終夜睡眠ポリグラフィー（フル）,PSG,ｼｭｳﾔｽｲﾐﾝﾎﾟﾘｸﾞﾗﾌｨｰ,single,04,160245210,160245210,1,440
160076710,針筋電図検査（１肢につき）,針筋電図,ﾊﾘｷﾝﾃﾞﾝｽﾞ,single,05,160076710,160076710,1,510
160076810,神経伝導検査（誘発筋電図）,神経伝導,ｼﾝｹｲﾃﾞﾝﾄﾞｳｹﾝｻ,single,05,160076810,160076810,1,520
160076110,体性感覚誘発電位（ＳＥＰ）,SEP,ﾀｲｾｲｶﾝｶｸﾕｳﾊﾂﾃﾞﾝｲ,single,05,160076110,160076110,1,530
160076210,視覚誘発電位（ＶＥＰ）,VEP,ｼｶｸﾕｳﾊﾂﾃﾞﾝｲ,single,05,160076210,160076210,1,540
160071550,血圧脈波検査（ＡＢＩ／ＣＡＶＩ）,ABI,ｹﾂｱﾂﾐｬｸﾊｹﾝｻ,single,06,160071550,160071550,1,610
160183010,２４時間自由行動下血圧測定,ABPM,24ｼﾞｶﾝｹﾂｱﾂｿｸﾃｲ,single,06,160183010,160183010,1,620
160207010,皮膚灌流圧測定（ＳＰＰ）,SPP,ﾋﾌｶﾝﾘｭｳｱﾂｿｸﾃｲ,single,06,160207010,160207010,1,630
160078010,標準純音聴力検査,純音聴力,ﾋｮｳｼﾞｭﾝｼﾞｭﾝｵﾝﾁｮｳﾘｮｸ,single,07,160078010,160078010,1,710
160147810,標準語音聴力検査,語音聴力,ﾋｮｳｼﾞｭﾝｺﾞｵﾝﾁｮｳﾘｮｸ,single,07,160147810,160147810,1,720
160175910,簡易聴力検査（気導純音）,簡易聴力,ｶﾝｲﾁｮｳﾘｮｸｹﾝｻ,single,07,160175910,160175910,1,730
160171010,耳音響放射検査（ＯＡＥ）,OAE,ｼﾞｵﾝｷｮｳﾎｳｼｬｹﾝｻ,single,07,160171010,160171010,1,740
160076550,聴性脳幹反応検査（ＡＢＲ）,ABR,ﾁｮｳｾｲﾉｳｶﾝﾊﾝﾉｳ,single,07,160076550,160076550,1,750
160079410,平衡機能検査（標準検査）,平衡標準,ﾍｲｺｳｷﾉｳｹﾝｻ,single,07,160079410,160079410,1,760
160155910,重心動揺検査,重心動揺,ｼﾞｭｳｼﾝﾄﾞｳﾖｳｹﾝｻ,single,07,160155910,160155910,1,770
160231510,ビデオヘッドインパルス検査（ｖＨＩＴ）,vHIT,ﾋﾞﾃﾞｵﾍｯﾄﾞｲﾝﾊﾟﾙｽ,single,07,160231510,160231510,1,780
160073010,サーモグラフィー検査,サーモ,ｻｰﾓｸﾞﾗﾌｨｰ,single,90,160073010,160073010,1,910
SET-01,術前生理検査セット,術前セット,ｼﾞｭﾂｾﾞﾝｾｲﾘｹﾝｻｾｯﾄ,set,90,,,1,1
SET-02,循環器基本セット,循環器セット,ｼﾞｭﾝｶﾝｷｷﾎﾝｾｯﾄ,set,90,,,1,2
SET-03,呼吸機能検査セット,呼吸機能セット,ｺｷｭｳｷﾉｳｹﾝｻｾｯﾄ,set,90,,,1,3
SET-04,めまい平衡機能セット,めまいセット,ﾒﾏｲﾍｲｺｳｷﾉｳｾｯﾄ,set,90,,,1,4
SET-05,神経伝導・筋電図セット,神経伝導セット,ｼﾝｹｲﾃﾞﾝﾄﾞｳｷﾝﾃﾞﾝｽﾞｾｯﾄ,set,90,,,1,5
