dataset_code,detail_type,code,default_quantity,route_code,default_selected,display_order
000001,procedure,170000410,,,1,10
000001,procedure,170027910,,,1,20
000001,procedure,170000210,,,1,30
000002,procedure,170000510,,,1,10
000002,procedure,170027910,,,1,20
000002,procedure,170000210,,,1,30
000003,procedure,170026910,,,1,10
000003,procedure,170028210,,,1,20
000003,procedure,170026710,,,1,30
000004,procedure,170033410,,,1,10
000004,procedure,170015410,,,1,20
000004,procedure,170028810,,,1,30
000004,procedure,170012070,,,0,40
000004,procedure,170034410,,,0,50
000004,medicine,620003695,1,IV,0,60
000004,material,000003,1,,0,70
000004,material,000001,1,,0,80
000005,procedure,170033410,,,1,10
000005,procedure,170012070,,,1,20
000005,procedure,170034410,,,1,30
000005,procedure,170015410,,,1,40
000005,procedure,170028810,,,1,50
000005,medicine,620003695,1,IV,1,60
000005,material,000003,1,,1,70
000005,material,000001,1,,1,80
000005,material,000005,1,,0,90
000006,procedure,170033410,,,1,10
000006,procedure,170027770,,,1,20
000006,procedure,170012070,,,1,30
000006,procedure,170034410,,,1,40
000006,procedure,170015410,,,1,50
000006,procedure,170028810,,,1,60
000006,medicine,620003695,1,IV,1,70
000006,material,000003,1,,1,80
000006,material,000001,1,,1,90
000007,procedure,170020110,,,1,10
000007,procedure,170015410,,,1,20
000007,procedure,170028810,,,1,30
000007,procedure,170020470,,,0,40
000007,procedure,170034410,,,0,50
000007,procedure,170035170,,,0,60
000007,medicine,622411201,1,IV,0,70
000007,material,000003,1,,0,80
000007,material,000002,1,,0,90
000008,procedure,170000310,,,1,10
000008,procedure,170000810,,,1,20
000008,procedure,170028110,,,1,30
000008,procedure,170017010,,,1,40
000008,procedure,170013650,,,0,50
000008,medicine,622040401,150,PO,1,60
000008,material,000014,1,,1,70
000008,material,000012,1,,0,80
000009,procedure,170000310,,,1,10
000009,procedure,170012910,,,1,20
000009,procedure,170000810,,,1,30
000009,procedure,170028110,,,1,40
000009,procedure,170017010,,,1,50
000009,medicine,622040401,300,PR,1,60
000009,material,000013,1,,1,70
000010,procedure,170000310,,,1,10
000010,procedure,170017650,,,1,20
000010,procedure,170000810,,,1,30
000010,procedure,170028110,,,1,40
000010,procedure,170017010,,,1,50
000010,medicine,647210004,1,IB,1,60
000010,material,000011,1,,1,70
000011,procedure,170000310,,,1,10
000011,procedure,170013550,,,1,20
000011,procedure,170000810,,,1,30
000011,procedure,170028110,,,1,40
000011,procedure,170017010,,,1,50
000011,medicine,647210004,1,,1,60
000012,procedure,170000310,,,1,10
000012,procedure,170023650,,,1,20
000012,procedure,170000810,,,1,30
000012,procedure,170028110,,,1,40
000012,procedure,170017010,,,1,50
000012,medicine,647210004,1,,1,60
000013,procedure,170000310,,,1,10
000013,procedure,170013010,,,1,20
000013,procedure,170000810,,,1,30
000013,procedure,170028110,,,1,40
000013,procedure,170017010,,,1,50
000013,medicine,647210004,1,,1,60
000014,procedure,170020710,,,1,10
000014,procedure,170000810,,,1,20
000014,procedure,170028110,,,1,30
000014,procedure,170017010,,,1,40
000014,medicine,620003692,1,IA,1,50
000014,material,000006,1,,1,60
000014,material,000008,2,,1,70
000014,material,000009,1,,1,80
000014,material,000004,1,,1,90
000015,procedure,170027110,,,1,10
000015,procedure,170000810,,,1,20
000015,procedure,170028110,,,1,30
000015,procedure,170017010,,,1,40
000015,medicine,620003692,1,IA,1,50
000015,material,000006,1,,1,60
000015,material,000007,1,,1,70
000015,material,000009,1,,1,80
000015,material,000010,1,,0,90
000016,procedure,170024710,,,1,10
000016,procedure,170015310,,,1,20
000016,procedure,170026810,,,1,30
000016,medicine,640406123,1,IV,1,40
000016,material,000002,1,,0,50
000017,procedure,170024710,,,1,10
000017,procedure,170015310,,,1,20
000017,procedure,170026810,,,1,30
000017,medicine,644310112,111,IV,1,40
000017,material,000002,1,,0,50
000018,procedure,160091310,,,1,10
