dataset_code,name,name_kana,display_order
000001,単純撮影(頭部・胸部・腹部・脊椎),タンジュンサツエイイ,10
000002,単純撮影(その他の部位),タンジュンサツエイロ,20
000003,乳房撮影,ニュウボウサツエイ,30
000004,CT撮影(単純),シーティーサツエイタンジュン,40
000005,CT撮影(造影),シーティーサツエイゾウエイ,50
000006,CT撮影(冠動脈),シーティーサツエイカンドウミャク,60
000007,MRI撮影,エムアールアイサツエイ,70
000008,上部消化管造影,ジョウブショウカカンゾウエイ,80
000009,注腸造影,チュウチョウゾウエイ,90
000010,膀胱造影,ボウコウゾウエイ,100
000011,子宮卵管造影,シキュウランカンゾウエイ,110
000012,腎盂造影,ジンウゾウエイ,120
000013,瘻孔造影,ロウコウゾウエイ,130
000014,心臓カテーテル(冠動脈造影),シンゾウカテーテル,140
000015,血管造影(選択的),ケッカンゾウエイセンタクテキ,150
000016,骨シンチグラフィ,コツシンチグラフィ,160
000017,ガリウムシンチグラフィ,ガリウムシンチグラフィ,170
000018,骨塩定量(DEXA法),コツエンテイリョウ,180
