layout_name,grid_row,grid_column,cell_type,item_code,display_name
一般撮影,1,1,label,,胸部
一般撮影,1,2,item,000001,胸部立位P→A
一般撮影,1,3,item,000003,胸部立位側面
一般撮影,1,4,item,000004,胸部臥位
一般撮影,1,5,item,000005,胸部座位
一般撮影,1,6,item,000006,胸部第1斜位
一般撮影,1,7,item,S00001,胸部2方向
一般撮影,2,1,label,,腹部
一般撮影,2,2,item,000013,腹部立位
一般撮影,2,3,item,000014,腹部臥位
一般撮影,2,4,item,000015,腹部左側臥位
一般撮影,2,5,item,000016,胸腹部臥位
一般撮影,2,6,item,S00002,腹部2方向
一般撮影,2,7,item,S00003,胸腹部
一般撮影,3,1,label,,頭頸部
一般撮影,3,2,item,000017,頭部正面
一般撮影,3,3,item,000018,頭部側面
一般撮影,3,4,item,000019,頭部タウン
一般撮影,3,5,item,000020,副鼻腔正面
一般撮影,3,6,item,S00004,頭部2方向
一般撮影,3,7,item,S00022,副鼻腔2方向
一般撮影,4,1,label,,頚椎
一般撮影,4,2,item,000023,頚椎正面
一般撮影,4,3,item,000024,頚椎側面
一般撮影,4,4,item,000025,頚椎第1斜位
一般撮影,4,5,item,000027,頚椎開口位
一般撮影,4,6,item,S00005,頚椎4方向
一般撮影,4,7,item,S00006,頚椎機能
一般撮影,5,1,label,,胸腰椎
一般撮影,5,2,item,000030,胸椎正面
一般撮影,5,3,item,000031,胸椎側面
一般撮影,5,4,item,000032,腰椎正面
一般撮影,5,5,item,000033,腰椎側面
一般撮影,5,6,item,S00007,腰椎4方向
一般撮影,5,7,item,S00008,腰椎機能
一般撮影,6,1,label,,骨盤・仙尾骨
一般撮影,6,2,item,000043,骨盤正面
一般撮影,6,3,item,000038,仙骨正面
一般撮影,6,4,item,000039,仙骨側面
一般撮影,6,5,item,000040,尾骨側面
一般撮影,6,6,item,S00009,全脊椎2方向
一般撮影,7,1,label,,胸郭
一般撮影,7,2,item,000009,左肋骨
一般撮影,7,3,item,000010,右肋骨
一般撮影,7,4,item,000011,胸骨正面
一般撮影,7,5,item,000012,胸骨側面
一般撮影,7,6,item,000008,肺尖
一般撮影,8,1,label,,上肢(左)
一般撮影,8,2,item,000044,L肩関節正面
一般撮影,8,3,item,000046,L鎖骨正面
一般撮影,8,4,item,000048,L上腕骨正面
一般撮影,8,5,item,S00016,L肘2方向
一般撮影,8,6,item,S00014,L手関節2方向
