item_code,name,short_name,name_kana,kind,modality_code,procedure_major_code,procedure_minor_code,procedure_extension_code,body_part_code,laterality_code,body_position_code,direction_code,generic_extension_code,detail_position_code,special_instruction_code,nuclide_code,groupable,requires_appointment,requires_perform_input,dataset_code,duration_minutes,display_order
000001,Ｘ線単純撮影胸部立位正面(P→A),胸部立位P→A,キョウブリツイショウメン,single,1,,,,200,,1,03,,,,01,1,0,1,000001,,10
000002,Ｘ線単純撮影胸部立位正面(A→P),胸部立位A→P,キョウブリツイショウメン,single,1,,,,200,,1,02,,,,01,1,0,1,000001,,20
000003,Ｘ線単純撮影胸部立位側面(R→L),胸部立位側面,キョウブリツイソクメン,single,1,,,,200,,1,05,,,,01,1,0,1,000001,,30
000004,Ｘ線単純撮影胸部仰臥位正面(A→P),胸部臥位,キョウブギョウガイ,single,1,,,,200,,2,02,,,,01,1,0,1,000001,,40
000005,Ｘ線単純撮影胸部座位正面(A→P),胸部座位,キョウブザイ,single,1,,,,200,,7,02,,,,01,1,0,1,000001,,50
000006,Ｘ線単純撮影胸部立位第１斜位(角度指定なし),胸部第1斜位,キョウブダイイチシャイ,single,1,,,,200,,1,10,,,,01,1,0,1,000001,,60
000007,Ｘ線単純撮影胸部立位第２斜位(角度指定なし),胸部第2斜位,キョウブダイニシャイ,single,1,,,,200,,1,11,,,,01,1,0,1,000001,,70
000008,Ｘ線単純撮影胸部立位肺尖撮影,肺尖,ハイセンサツエイ,single,1,,,,200,,1,36,,,,01,1,0,1,000001,,80
000009,Ｘ線単純撮影左肋骨正面(指定無し),左肋骨,ヒダリロッコツ,single,1,,,,379,L,,01,,,,01,1,0,1,000001,,90
000010,Ｘ線単純撮影右肋骨正面(指定無し),右肋骨,ミギロッコツ,single,1,,,,379,R,,01,,,,01,1,0,1,000001,,100
000011,Ｘ線単純撮影胸骨正面(指定無し),胸骨正面,キョウコツショウメン,single,1,,,,681,,,01,,,,01,1,0,1,000001,,110
000012,Ｘ線単純撮影胸骨側面(指定無し),胸骨側面,キョウコツソクメン,single,1,,,,681,,,04,,,,01,1,0,1,000001,,120
000013,Ｘ線単純撮影腹部立位正面(A→P),腹部立位,フクブリツイ,single,1,,,,250,,1,02,,,,01,1,0,1,000001,,130
000014,Ｘ線単純撮影腹部仰臥位正面(A→P),腹部臥位,フクブギョウガイ,single,1,,,,250,,2,02,,,,01,1,0,1,000001,,140
000015,Ｘ線単純撮影腹部左側臥位正面(A→P),腹部左側臥位,フクブヒダリソクガイ,single,1,,,,250,,6,02,,,,01,1,0,1,000001,,150
000016,Ｘ線単純撮影胸腹部仰臥位正面(指定無し),胸腹部臥位,キョウフクブギョウガイ,single,1,,,,640,,2,01,,,,01,1,0,1,000001,,160
000017,Ｘ線単純撮影頭部正面(A→P),頭部正面,トウブショウメン,single,1,,,,100,,,02,,,,01,1,0,1,000001,,170
000018,Ｘ線単純撮影頭部側面(指定無し),頭部側面,トウブソクメン,single,1,,,,100,,,04,,,,01,1,0,1,000001,,180
000019,Ｘ線単純撮影頭部タウン,頭部タウン,トウブタウン,single,1,,,,100,,,46,,,,01,1,0,1,000001,,190
000020,Ｘ線単純撮影副鼻腔正面(P→A),副鼻腔正面,フクビクウショウメン,single,1,,,,116,,,03,,,,01,1,0,1,000001,,200
000021,Ｘ線単純撮影副鼻腔側面(指定無し),副鼻腔側面,フクビクウソクメン,single,1,,,,116,,,04,,,,01,1,0,1,000001,,210
000022,Ｘ線単純撮影副鼻腔軸位,副鼻腔軸位,フクビクウジクイ,single,1,,,,116,,,20,,,,01,1,0,1,000001,,220
000023,Ｘ線単純撮影頚椎正面(A→P),頚椎正面,ケイツイショウメン,single,1,,,,351,,,02,,,,01,1,0,1,000001,,230
000024,Ｘ線単純撮影頚椎側面(指定無し),頚椎側面,ケイツイソクメン,single,1,,,,351,,,04,,,,01,1,0,1,000001,,240
000025,Ｘ線単純撮影頚椎第１斜位(角度指定なし),頚椎第1斜位,ケイツイダイイチシャイ,single,1,,,,351,,,10,,,,01,1,0,1,000001,,250
000026,Ｘ線単純撮影頚椎第２斜位(角度指定なし),頚椎第2斜位,ケイツイダイニシャイ,single,1,,,,351,,,11,,,,01,1,0,1,000001,,260
000027,Ｘ線単純撮影頚椎頸椎開口位,頚椎開口位,ケイツイカイコウイ,single,1,,,,351,,,84,,,,01,1,0,1,000001,,270
000028,Ｘ線単純撮影頚椎側面(指定無し)前屈位,頚椎前屈,ケイツイゼンクツ,single,1,,,,351,,,04,,12,,01,1,0,1,000001,,280
000029,Ｘ線単純撮影頚椎側面(指定無し)後屈位,頚椎後屈,ケイツイコウクツ,single,1,,,,351,,,04,,13,,01,1,0,1,000001,,290
000030,Ｘ線単純撮影胸椎正面(A→P),胸椎正面,キョウツイショウメン,single,1,,,,353,,,02,,,,01,1,0,1,000001,,300
000031,Ｘ線単純撮影胸椎側面(R→L),胸椎側面,キョウツイソクメン,single,1,,,,353,,,05,,,,01,1,0,1,000001,,310
000032,Ｘ線単純撮影腰椎正面(A→P),腰椎正面,ヨウツイショウメン,single,1,,,,354,,,02,,,,01,1,0,1,000001,,320
000033,Ｘ線単純撮影腰椎側面(R→L),腰椎側面,ヨウツイソクメン,single,1,,,,354,,,05,,,,01,1,0,1,000001,,330
000034,Ｘ線単純撮影腰椎第１斜位(角度指定なし),腰椎第1斜位,ヨウツイダイイチシャイ,single,1,,,,354,,,10,,,,01,1,0,1,000001,,340
000035,Ｘ線単純撮影腰椎第２斜位(角度指定なし),腰椎第2斜位,ヨウツイダイニシャイ,single,1,,,,354,,,11,,,,01,1,0,1,000001,,350
000036,Ｘ線単純撮影腰椎立位側面(指定無し)前屈位,腰椎前屈,ヨウツイゼンクツ,single,1,,,,354,,1,04,,12,,01,1,0,1,000001,,360
000037,Ｘ線単純撮影腰椎立位側面(指定無し)後屈位,腰椎後屈,ヨウツイコウクツ,single,1,,,,354,,1,04,,13,,01,1,0,1,000001,,370
000038,Ｘ線単純撮影仙骨正面(A→P),仙骨正面,センコツショウメン,single,1,,,,356,,,02,,,,01,1,0,1,000001,,380
000039,Ｘ線単純撮影仙骨側面(指定無し),仙骨側面,センコツソクメン,single,1,,,,356,,,04,,,,01,1,0,1,000001,,390
000040,Ｘ線単純撮影尾骨側面(指定無し),尾骨側面,ビコツソクメン,single,1,,,,358,,,04,,,,01,1,0,1,000001,,400
000041,Ｘ線単純撮影全脊椎立位正面(指定無し),全脊椎正面,ゼンセキツイショウメン,single,1,,,,678,,1,01,,,,01,1,0,1,000001,,410
000042,Ｘ線単純撮影全脊椎立位側面(指定無し),全脊椎側面,ゼンセキツイソクメン,single,1,,,,678,,1,04,,,,01,1,0,1,000001,,420
000043,Ｘ線単純撮影骨盤正面(A→P),骨盤正面,コツバンショウメン,single,1,,,,320,,,02,,,,01,1,0,1,000002,,430
000044,Ｘ線単純撮影左肩関節正面(指定無し),L肩関節正面,ヒダリカタカンセツ,single,1,,,,384,L,,01,,,,01,1,0,1,000002,,440
000045,Ｘ線単純撮影右肩関節正面(指定無し),R肩関節正面,ミギカタカンセツ,single,1,,,,384,R,,01,,,,01,1,0,1,000002,,450
000046,Ｘ線単純撮影左鎖骨正面(指定無し),L鎖骨正面,ヒダリサコツ,single,1,,,,377,L,,01,,,,01,1,0,1,000002,,460
000047,Ｘ線単純撮影右鎖骨正面(指定無し),R鎖骨正面,ミギサコツ,single,1,,,,377,R,,01,,,,01,1,0,1,000002,,470
000048,Ｘ線単純撮影左上腕骨正面(指定無し),L上腕骨正面,ヒダリジョウワンコツ,single,1,,,,683,L,,01,,,,01,1,0,1,000002,,480
000049,Ｘ線単純撮影右上腕骨正面(指定無し),R上腕骨正面,ミギジョウワンコツ,single,1,,,,683,R,,01,,,,01,1,0,1,000002,,490
000050,Ｘ線単純撮影左肘関節正面(指定無し),L肘関節正面,ヒダリチュウカンセツ,single,1,,,,386,L,,01,,,,01,1,0,1,000002,,500
000051,Ｘ線単純撮影右肘関節正面(指定無し),R肘関節正面,ミギチュウカンセツ,single,1,,,,386,R,,01,,,,01,1,0,1,000002,,510
000052,Ｘ線単純撮影左肘関節側面(指定無し),L肘関節側面,ヒダリチュウカンセツ,single,1,,,,386,L,,04,,,,01,1,0,1,000002,,520
000053,Ｘ線単純撮影右肘関節側面(指定無し),R肘関節側面,ミギチュウカンセツ,single,1,,,,386,R,,04,,,,01,1,0,1,000002,,530
000054,Ｘ線単純撮影左前腕骨正面(指定無し),L前腕骨正面,ヒダリゼンワンコツ,single,1,,,,686,L,,01,,,,01,1,0,1,000002,,540
000055,Ｘ線単純撮影右前腕骨正面(指定無し),R前腕骨正面,ミギゼンワンコツ,single,1,,,,686,R,,01,,,,01,1,0,1,000002,,550
000056,Ｘ線単純撮影左手関節正面(指定無し),L手関節正面,ヒダリシュカンセツ,single,1,,,,392,L,,01,,,,01,1,0,1,000002,,560
