element,code,name,name_english,common_name,jj_version,note
modality,0,利用法未定,,,3.0,
modality,1,Ｘ線単純撮影,,,3.0,
modality,2,Ｘ線透視・造影,,,3.0,
modality,3,Ｘ線血管撮影,,,3.0,
modality,4,Ｘ線断層撮影,,,3.0,
modality,5,Ｘ線骨塩定量,,,3.0,
modality,6,Ｘ線CT検査,,,3.0,
modality,7,MRI検査,,,3.0,
modality,8,核医学検査,,,3.0,
modality,9,超音波検査,,,3.0,
modality,A,体外照射,,,3.1,
modality,B,密封小線源,,,3.1,
modality,C,温熱療法,,,3.1,
modality,D,血液照射,,,3.1,
modality,E,内用療法,,,3.1,指針 表5.2 の表記は「内服療法」だが本文5.9.3・別表F は「内用療法」
modality,F,乳房X線撮影,,,3.4,
modality,G,X線単純撮影（ポータブル）,,,3.4,
modality,H,歯科口腔内撮影,,,3.4,
laterality,0,指定なし,,,3.0,
laterality,B,両側,,,3.0,
laterality,R,右側,,,3.0,
laterality,L,左側,,,3.0,
laterality,H,頭側,,,3.0,
laterality,F,足側,,,3.0,
laterality,A,前側,,,3.0,
laterality,P,後側,,,3.0,
laterality,W,全体,,,3.0,
laterality,Q,右前側,,,3.1,
laterality,S,右後側,,,3.1,
laterality,K,左前側,,,3.1,
laterality,M,左後側,,,3.1,
procedure_major,3Y,気管支バルブ留置術,,,3.4,
procedure_major,4S,経皮的腎（腎盂）瘻造設術,,,3.4,
procedure_extension,LL,18F-fluciclovine,,18F-フロシクロビン,3.4,
