material_code,name,name_kana,unit_name,receipt_material_code,display_order
000001,静脈留置針 20G,ジョウミャクリュウチシン20G,本,,10
000002,静脈留置針 22G,ジョウミャクリュウチシン22G,本,,20
000003,造影剤注入用エクステンションチューブ,ゾウエイザイチュウニュウヨウエクステンションチューブ,本,710010232,30
000004,造影剤インジェクタ用シリンジ,ゾウエイザイインジェクタヨウシリンジ,本,,40
000005,三方活栓,サンポウカッセン,個,,50
000006,血管造影用シースイントロデューサーセット(選択的導入用),ケッカンゾウエイヨウシースイントロデューサーセット,組,710010001,60
000007,血管造影用カテーテル(脳血管・腹部血管専用型),ケッカンゾウエイヨウカテーテル,本,729920011,70
000008,血管造影用カテーテル(心臓マルチパーパス型),ケッカンゾウエイヨウカテーテルシンゾウ,本,728580000,80
000009,ガイドワイヤー,ガイドワイヤー,本,710011034,90
000010,血管造影用マイクロカテーテル(遠位端可動型治療用),ケッカンゾウエイヨウマイクロカテーテル,本,710010910,100
000011,膀胱留置用ディスポーザブルカテーテル(2管一般(2)・標準型),ボウコウリュウチヨウディスポーザブルカテーテル,本,710010159,110
000012,栄養カテーテル(経鼻用・一般用),エイヨウカテーテルケイビヨウ,本,710010143,120
000013,注腸用チューブ,チュウチョウヨウチューブ,本,,130
000014,バリウム用ディスポーザブルカップ,バリウムヨウディスポーザブルカップ,個,,140
