set_item_code,member_item_code,display_order
S00001,000001,10
S00001,000003,20
S00002,000013,10
S00002,000014,20
S00003,000001,10
S00003,000013,20
S00003,000014,30
S00004,000017,10
S00004,000018,20
S00005,000023,10
S00005,000024,20
S00005,000025,30
S00005,000026,40
S00006,000028,10
S00006,000029,20
S00007,000032,10
S00007,000033,20
S00007,000034,30
S00007,000035,40
S00008,000036,10
S00008,000037,20
S00009,000041,10
S00009,000042,20
S00010,000072,10
S00010,000074,20
S00011,000073,10
S00011,000075,20
S00012,000078,10
S00012,000080,20
S00013,000079,10
S00013,000081,20
S00014,000056,10
S00014,000058,20
S00015,000057,10
S00015,000059,20
S00016,000050,10
S00016,000052,20
S00017,000051,10
S00017,000053,20
S00018,000060,10
S00018,000062,20
S00019,000061,10
S00019,000063,20
S00020,000082,10
S00020,000084,20
S00021,000083,10
S00021,000085,20
S00022,000020,10
S00022,000021,20
