regimen_code,term,grade,note
900001,末梢性感覚ニューロパチー,2,冷感刺激を避ける。持続すればオキサリプラチンを減量する
900001,好中球数減少,3,
900001,悪心,2,
900001,アレルギー反応,3,オキサリプラチンの過敏反応。投与回数が増えると起こりやすい
900002,好中球数減少,3,G-CSF の適応を検討する
900002,下痢,3,早発性はアトロピン、遅発性はロペラミドで対応する
900002,悪心,2,
900002,脱毛症,2,
900003,手掌・足底発赤知覚不全症候群,3,手足症候群。保湿と減量で対応する
900003,末梢性感覚ニューロパチー,2,オキサリプラチンによる
900003,下痢,3,
900004,好中球数減少,4,発熱性好中球減少症に注意。G-CSF の一次予防を検討する
900004,悪心,3,高度催吐性リスク。NK1 拮抗薬を併用する
900004,駆出率減少,3,累積投与量 500 mg/m² を超えないようにする
900004,脱毛症,2,
900005,好中球数減少,4,
900005,末梢性感覚ニューロパチー,2,ビンクリスチンによる。持続すれば減量する
900005,便秘,2,ビンクリスチンによる。緩下剤を併用する
900005,注入に伴う反応,3,リツキシマブの初回投与時に多い
900006,好中球数減少,4,
900006,血小板数減少,3,
900006,急性腎障害,3,シスプラチンによる。補液と尿量の確保が要る
900006,聴力障害,2,シスプラチンによる。不可逆のことがある
900007,末梢性感覚ニューロパチー,3,パクリタキセルによる。Grade 2 以上で減量を検討する
900007,好中球数減少,4,
900007,アレルギー反応,3,パクリタキセルの過敏反応。前投薬を確実に行う
900007,関節痛,2,
900008,甲状腺機能低下症,2,免疫関連有害事象。定期的に TSH を測る
900008,大腸炎,3,免疫関連有害事象。下痢が続けば内視鏡を検討する
900008,肺臓炎,3,免疫関連有害事象。呼吸器症状で胸部 CT を撮る
900009,好中球数減少,3,
900009,肺臓炎,3,間質性肺炎に注意する
900010,手掌・足底発赤知覚不全症候群,3,手足症候群。保湿と減量で対応する
900010,下痢,3,
