regimen_code,step_no,drug_role,medicine_code,dose_basis,dose_value,dose_unit,dose_max,note
900001,1,fluid,643310225,unit,1,瓶,,
900001,1,premedication,620525701,fixed,6.6,mg,,
900001,1,antiemetic,622855701,fixed,0.75,mg,,
900001,2,fluid,643230411,unit,1,袋,,
900001,2,anticancer,622476900,bsa,85,mg,,
900001,3,fluid,643230411,unit,1,袋,,
900001,3,anticancer,620005728,bsa,200,mg,,
900001,4,anticancer,622412601,bsa,400,mg,,
900001,5,anticancer,622412601,bsa,2400,mg,,
900002,1,fluid,643310225,unit,1,瓶,,
900002,1,premedication,620525701,fixed,6.6,mg,,
900002,1,antiemetic,622855701,fixed,0.75,mg,,
900002,2,fluid,643230411,unit,1,袋,,
900002,2,anticancer,620009515,bsa,150,mg,,
900002,3,anticancer,620005728,bsa,200,mg,,
900002,4,anticancer,622412501,bsa,400,mg,,
900002,5,anticancer,622412601,bsa,2400,mg,,
900003,1,fluid,643310225,unit,1,瓶,,
900003,1,premedication,620525701,fixed,6.6,mg,,
900003,1,antiemetic,622855701,fixed,0.75,mg,,
900003,2,fluid,643230411,unit,1,袋,,
900003,2,anticancer,622476900,bsa,130,mg,,
900003,3,anticancer,622677701,bsa,2000,mg,,
900004,1,fluid,643310225,unit,1,瓶,,
900004,1,premedication,620525701,fixed,9.9,mg,,
900004,1,antiemetic,622855701,fixed,0.75,mg,,
900004,2,anticancer,621983201,bsa,60,mg,,
900004,3,fluid,643310225,unit,1,瓶,,
900004,3,anticancer,644210037,bsa,600,mg,,
900005,1,fluid,643310225,unit,1,瓶,,
900005,1,premedication,620525701,fixed,6.6,mg,,
900005,1,premedication,620930901,fixed,10,mg,,
900005,2,fluid,643310225,unit,1,瓶,,
900005,2,anticancer,622589201,bsa,375,mg,,
900005,3,anticancer,621983201,bsa,50,mg,,
900005,3,anticancer,640454006,bsa,1.4,mg,2,
900005,4,fluid,643310225,unit,1,瓶,,
900005,4,anticancer,644210037,bsa,750,mg,,
900005,5,supportive,610422253,fixed,100,mg,,
900006,1,fluid,643310225,unit,1,瓶,,
900006,1,premedication,620525701,fixed,9.9,mg,,
900006,1,antiemetic,622855701,fixed,0.75,mg,,
900006,2,fluid,643310225,unit,1,瓶,,
900006,2,anticancer,621973401,bsa,1000,mg,,
900006,3,fluid,643310225,unit,1,瓶,,
900006,3,anticancer,620923301,bsa,70,mg,,
900007,1,fluid,643310225,unit,1,瓶,,
900007,1,premedication,620525701,fixed,19.8,mg,,
900007,1,premedication,620930901,fixed,50,mg,,
900007,1,antiemetic,622855701,fixed,0.75,mg,,
900007,2,fluid,643310225,unit,1,瓶,,
900007,2,anticancer,620004170,bsa,175,mg,,
900007,3,fluid,643230411,unit,1,袋,,
900007,3,anticancer,620004122,auc,5,mg,,
900008,1,fluid,643310225,unit,1,瓶,,
900008,1,anticancer,622515801,fixed,200,mg,,
900009,1,fluid,643310225,unit,1,瓶,,
900009,1,anticancer,621973401,bsa,1000,mg,,
900010,1,anticancer,622677701,bsa,2500,mg,,
