regimen_code,category,analyte_code,item_name,unit,lower_limit,upper_limit,note
900001,blood,B1002,白血球数,/μL,3000,,
900001,blood,B1003,血小板数,/μL,100000,,
900001,hepatic,C8011,総ビリルビン(T-Bil),mg/dL,,1.5,
900001,renal,C3002,血清クレアチニン(Cre),mg/dL,,1.5,
900002,blood,B1002,白血球数,/μL,3000,,
900002,blood,B1003,血小板数,/μL,100000,,
900002,hepatic,C8011,総ビリルビン(T-Bil),mg/dL,,1.5,
900002,renal,C3002,血清クレアチニン(Cre),mg/dL,,1.5,
900003,blood,B1002,白血球数,/μL,3000,,
900003,blood,B1003,血小板数,/μL,100000,,
900003,renal,,CCr,mL/分,30,,CCr 30 mL/分未満はカペシタビン禁忌
900004,blood,B1002,白血球数,/μL,3000,,
900004,blood,B1003,血小板数,/μL,100000,,
900004,hepatic,C8011,総ビリルビン(T-Bil),mg/dL,,1.5,
900005,blood,B1002,白血球数,/μL,3000,,
900005,blood,B1003,血小板数,/μL,100000,,
900005,hepatic,C8011,総ビリルビン(T-Bil),mg/dL,,2.0,
900006,blood,B1002,白血球数,/μL,3000,,
900006,blood,B1003,血小板数,/μL,100000,,
900006,renal,,CCr,mL/分,60,,シスプラチンの投与可否を CCr で判断する
900007,blood,B1002,白血球数,/μL,3000,,
900007,blood,B1003,血小板数,/μL,100000,,
900007,renal,,CCr,mL/分,50,,Calvert 式の GFR にも使う
900008,hepatic,C8011,総ビリルビン(T-Bil),mg/dL,,1.5,
900008,renal,C3002,血清クレアチニン(Cre),mg/dL,,1.5,
900009,blood,B1002,白血球数,/μL,3000,,
900009,blood,B1003,血小板数,/μL,100000,,
900010,blood,B1002,白血球数,/μL,3000,,
900010,renal,,CCr,mL/分,30,,CCr 30 mL/分未満は禁忌
