regimen_code,step_no,name,days,usage_type,route_code,infusion_minutes,device_note,usage_code,dose_days,note
900001,1,前投薬,1,drip,IV,15,,,,
900001,2,オキサリプラチン,1,drip,IV,120,,,,レボホリナートと同時に開始(別ルート)。血管外漏出注意。冷感刺激を避ける
900001,3,レボホリナート,1,drip,IV,120,,,,オキサリプラチンと同時に開始。配合変化があるので別ルートで落とす
900001,4,フルオロウラシル急速静注,1,one-shot,IV,,,,,
900001,5,フルオロウラシル持続点滴(46時間),1,drip,IV,2760,携帯型ディスポーザブル注入ポンプ,,,
900002,1,前投薬,1,drip,IV,15,,,,
900002,2,イリノテカン,1,drip,IV,90,,,,レボホリナートと同時に開始(別ルート)。コリン様症状に注意。発汗・腹痛が出たらアトロピンを検討
900002,3,レボホリナート,1,drip,IV,120,,,,イリノテカンと同時に開始。配合変化があるので別ルートで落とす
900002,4,フルオロウラシル急速静注,1,one-shot,IV,,,,,
900002,5,フルオロウラシル持続点滴(46時間),1,drip,IV,2760,携帯型ディスポーザブル注入ポンプ,,,
900003,1,前投薬,1,drip,IV,15,,,,
900003,2,オキサリプラチン,1,drip,IV,120,,,,血管外漏出注意。冷感刺激を避ける
900003,3,カペシタビン,1,oral,,,,1012040400000000,14,朝夕食後 30 分以内に服用する
900004,1,前投薬,1,drip,IV,15,,,,
900004,2,ドキソルビシン,1,one-shot,IV,,,,,血管外漏出に注意(起壊死性)。側管から自然滴下で投与する
900004,3,シクロホスファミド,1,drip,IV,30,,,,
900005,1,前投薬,1,drip,IV,30,,,,リツキシマブの infusion reaction 予防
900005,2,リツキシマブ,1,drip,IV,240,,,,初回は 25 mg/h から開始し、忍容性を見て 30 分ごとに増速する
900005,3,ドキソルビシン + ビンクリスチン,1,one-shot,IV,,,,,血管外漏出に注意(起壊死性)
900005,4,シクロホスファミド,1,drip,IV,30,,,,
900005,5,プレドニゾロン,1,oral,,,,1011000400000000,5,
900006,1,前投薬,"1,8",drip,IV,15,,,,
900006,2,ゲムシタビン,"1,8",drip,IV,30,,,,
900006,3,シスプラチン,1,drip,IV,120,,,,腎障害の予防に前後の補液を十分に行う
900007,1,前投薬,1,drip,IV,30,,,,パクリタキセルの過敏反応の予防
900007,2,パクリタキセル,1,drip,IV,180,インラインフィルター(0.22μm),,,
900007,3,カルボプラチン,1,drip,IV,60,,,,
900008,1,ペムブロリズマブ,1,drip,IV,30,インラインフィルター(0.22μm),,,免疫関連有害事象に注意
900009,1,ゲムシタビン,"1,8,15",drip,IV,30,,,,
900010,1,カペシタビン,1,oral,,,,1012040400000000,14,朝夕食後 30 分以内に服用する
