item_code,name,name_kana,abbreviation,category,unit_label,default_units,requires_crossmatch,display_order
621772801,赤血球液-LR「日赤」2単位,ｾｯｹｯｷｭｳｴｷLR2ﾀﾝｲ,RBC-LR-2,rbc,単位,2,1,10
621772901,赤血球液-LR「日赤」4単位,ｾｯｹｯｷｭｳｴｷLR4ﾀﾝｲ,RBC-LR-4,rbc,単位,4,1,20
621772001,照射赤血球液-LR「日赤」2単位,ｼｮｳｼｬｾｯｹｯｷｭｳｴｷLR2ﾀﾝｲ,Ir-RBC-LR-2,rbc,単位,2,1,30
621772101,照射赤血球液-LR「日赤」4単位,ｼｮｳｼｬｾｯｹｯｷｭｳｴｷLR4ﾀﾝｲ,Ir-RBC-LR-4,rbc,単位,4,1,40
622191501,照射洗浄赤血球液-LR「日赤」2単位,ｼｮｳｼｬｾﾝｼﾞｮｳｾｯｹｯｷｭｳｴｷLR2ﾀﾝｲ,Ir-WRC-LR-2,rbc,単位,2,1,50
622191601,照射洗浄赤血球液-LR「日赤」4単位,ｼｮｳｼｬｾﾝｼﾞｮｳｾｯｹｯｷｭｳｴｷLR4ﾀﾝｲ,Ir-WRC-LR-4,rbc,単位,4,1,60
622191701,照射解凍赤血球液-LR「日赤」2単位,ｼｮｳｼｬｶｲﾄｳｾｯｹｯｷｭｳｴｷLR2ﾀﾝｲ,Ir-FTRC-LR-2,rbc,単位,2,1,70
622191801,照射解凍赤血球液-LR「日赤」4単位,ｼｮｳｼｬｶｲﾄｳｾｯｹｯｷｭｳｴｷLR4ﾀﾝｲ,Ir-FTRC-LR-4,rbc,単位,4,1,80
620004679,照射人全血液-LR「日赤」2単位,ｼｮｳｼｬﾋﾄｾﾞﾝｹﾂｴｷLR2ﾀﾝｲ,Ir-WB-LR-2,rbc,単位,2,1,90
620004680,照射人全血液-LR「日赤」4単位,ｼｮｳｼｬﾋﾄｾﾞﾝｹﾂｴｷLR4ﾀﾝｲ,Ir-WB-LR-4,rbc,単位,4,1,100
622191301,合成血液-LR「日赤」2単位,ｺﾞｳｾｲｹﾂｴｷLR2ﾀﾝｲ,BET-LR-2,rbc,単位,2,1,110
621772601,新鮮凍結血漿-LR「日赤」120,ｼﾝｾﾝﾄｳｹﾂｹｯｼｮｳLR120,FFP-LR-120,ffp,単位,2,0,210
621772701,新鮮凍結血漿-LR「日赤」240,ｼﾝｾﾝﾄｳｹﾂｹｯｼｮｳLR240,FFP-LR-240,ffp,単位,4,0,220
622192101,新鮮凍結血漿-LR「日赤」480,ｼﾝｾﾝﾄｳｹﾂｹｯｼｮｳLR480,FFP-LR-480,ffp,単位,8,0,230
621602401,照射濃厚血小板-LR「日赤」5単位,ｼｮｳｼｬﾉｳｺｳｹｯｼｮｳﾊﾞﾝLR5ﾀﾝｲ,Ir-PC-LR-5,plt,単位,5,0,310
621602501,照射濃厚血小板-LR「日赤」10単位,ｼｮｳｼｬﾉｳｺｳｹｯｼｮｳﾊﾞﾝLR10ﾀﾝｲ,Ir-PC-LR-10,plt,単位,10,0,320
621602601,照射濃厚血小板-LR「日赤」15単位,ｼｮｳｼｬﾉｳｺｳｹｯｼｮｳﾊﾞﾝLR15ﾀﾝｲ,Ir-PC-LR-15,plt,単位,15,0,330
621602701,照射濃厚血小板-LR「日赤」20単位,ｼｮｳｼｬﾉｳｺｳｹｯｼｮｳﾊﾞﾝLR20ﾀﾝｲ,Ir-PC-LR-20,plt,単位,20,0,340
621602801,照射濃厚血小板HLA-LR「日赤」10単位,ｼｮｳｼｬﾉｳｺｳｹｯｼｮｳﾊﾞﾝHLA-LR10ﾀﾝｲ,Ir-PC-HLA-LR-10,plt,単位,10,0,350
621603001,照射濃厚血小板HLA-LR「日赤」20単位,ｼｮｳｼｬﾉｳｺｳｹｯｼｮｳﾊﾞﾝHLA-LR20ﾀﾝｲ,Ir-PC-HLA-LR-20,plt,単位,20,0,360
622487001,照射洗浄血小板-LR「日赤」10単位,ｼｮｳｼｬｾﾝｼﾞｮｳｹｯｼｮｳﾊﾞﾝLR10ﾀﾝｲ,Ir-WPC-LR-10,plt,単位,10,0,370
622984801,照射濃厚血小板-LRBS「日赤」10単位,ｼｮｳｼｬﾉｳｺｳｹｯｼｮｳﾊﾞﾝLRBS10ﾀﾝｲ,Ir-PC-LRBS-10,plt,単位,10,0,380
AUTO-STORED,自己血(貯血式),ｼﾞｺｹﾂﾁｮｹﾂｼｷ,自己血(貯血),auto,mL,400,1,410
AUTO-SALVAGE,自己血(回収式),ｼﾞｺｹﾂｶｲｼｭｳｼｷ,自己血(回収),auto,mL,,0,420
AUTO-DILUTION,自己血(希釈式),ｼﾞｺｹﾂｷｼｬｸｼｷ,自己血(希釈),auto,mL,,0,430
