dataset_code,detail_type,code,default_selected,display_order
140000610,procedure,140000610,1,1
140000710,procedure,140000710,1,1
140000810,procedure,140000810,1,1
140032010,procedure,140032010,1,1
140032110,procedure,140032110,1,1
140062110,procedure,140062110,1,1
140011610,procedure,140011610,1,1
140032750,procedure,140032750,1,1
140038710,procedure,140038710,1,1
140012410,procedure,140012410,1,1
140032950,procedure,140032950,1,1
140032410,procedure,140032410,1,1
140032310,procedure,140032310,1,1
140053750,procedure,140053750,1,1
140005610,procedure,140005610,1,1
140022710,procedure,140022710,1,1
140022810,procedure,140022810,1,1
140003810,procedure,140003810,1,1
140056510,procedure,140056510,1,1
140009310,procedure,140009310,1,1
140039550,procedure,140039550,1,1
140010710,procedure,140010710,1,1
140004310,procedure,140004310,1,1
140023210,procedure,140023210,1,1
140037510,procedure,140037510,1,1
140037710,procedure,140037710,1,1
140002450,procedure,140002450,1,1
140038310,procedure,140038310,1,1
140014010,procedure,140014010,1,1
140013810,procedure,140013810,1,1
140013110,procedure,140013110,1,1
140037110,procedure,140037110,1,1
140051310,procedure,140051310,1,1
140002210,procedure,140002210,1,1
140040310,procedure,140040310,1,1
140029610,procedure,140029610,1,1
140048010,procedure,140048010,1,1
140023010,procedure,140023010,1,1
140040510,procedure,140040510,1,1
140040610,procedure,140040610,1,1
140040810,procedure,140040810,1,1
140041850,procedure,140041850,1,1
140042450,procedure,140042450,1,1
140003010,procedure,140003010,1,1
140003210,procedure,140003210,1,1
140003610,procedure,140003610,1,1
140004110,procedure,140004110,1,1
140012850,procedure,140012850,1,1
140010210,procedure,140010210,1,1
140010310,procedure,140010310,1,1
140019310,procedure,140019310,1,1
140019710,procedure,140019710,1,1
140019810,procedure,140019810,1,1
140022610,procedure,140022610,1,1
140021810,procedure,140021810,1,1
140050010,procedure,140050010,1,1
140017610,procedure,140017610,1,1
140017850,procedure,140017850,1,1
140032610,procedure,140032610,1,1
