dataset_code,name,name_kana,display_order
140000610,創傷処置（１００ｃｍ２未満）,ｿｳｼｮｳｼｮﾁ,10
140000710,創傷処置（１００ｃｍ２以上５００ｃｍ２未満）,ｿｳｼｮｳｼｮﾁ,20
140000810,創傷処置（５００ｃｍ２以上３０００ｃｍ２未満）,ｿｳｼｮｳｼｮﾁ,30
140032010,熱傷処置（１００ｃｍ２未満）,ﾈｯｼｮｳｼｮﾁ,40
140032110,熱傷処置（１００ｃｍ２以上５００ｃｍ２未満）,ﾈｯｼｮｳｼｮﾁ,50
140062110,下肢創傷処置（足部の浅い潰瘍）,ｶｼｿｳｼｮｳｼｮﾁ,60
140011610,皮膚科軟膏処置（１００ｃｍ２以上５００ｃｍ２未満）,ﾋﾌｶﾅﾝｺｳｼｮﾁ,70
140032750,爪甲除去,ｿｳｺｳｼﾞｮｷｮ,80
140038710,鶏眼・胼胝処置,ｹｲｶﾞﾝﾍﾞﾝﾁｼｮﾁ,90
140012410,いぼ等冷凍凝固法（３箇所以下）,ｲﾎﾞﾚｲﾄｳｷﾞｮｳｺ,100
140032950,穿刺排膿後薬液注入,ｾﾝｼﾊｲﾉｳ,110
140032410,ドレーン法（その他）,ﾄﾞﾚｰﾝﾎｳ,120
140032310,ドレーン法（持続的吸引）,ﾄﾞﾚｰﾝﾎｳｼﾞｿﾞｸ,130
140053750,局所陰圧閉鎖処置（入院外）（１００ｃｍ２未満）,ｷｮｸｼｮｲﾝｱﾂﾍｲｻ,140
140005610,酸素吸入,ｻﾝｿｷｭｳﾆｭｳ,150
140022710,ネブライザ,ﾈﾌﾞﾗｲｻﾞ,160
140022810,超音波ネブライザ,ﾁｮｳｵﾝﾊﾟﾈﾌﾞﾗｲｻﾞ,170
140003810,喀痰吸引,ｶｸﾀﾝｷｭｳｲﾝ,180
140056510,排痰誘発法,ﾊｲﾀﾝﾕｳﾊﾂ,190
140009310,人工呼吸,ｼﾞﾝｺｳｺｷｭｳ,200
140039550,人工呼吸（鼻マスク式人工呼吸器）,ﾋﾞﾏｽｸｼｷｼﾞﾝｺｳｺｷｭｳ,210
140010710,気管内洗浄,ｷｶﾝﾅｲｾﾝｼﾞｮｳ,220
140004310,胃持続ドレナージ,ｲｼﾞｿﾞｸﾄﾞﾚﾅｰｼﾞ,230
140023210,鼻腔栄養,ﾋﾞｸｳｴｲﾖｳ,240
140037510,高圧浣腸,ｺｳｱﾂｶﾝﾁｮｳ,250
140037710,摘便,ﾃｷﾍﾞﾝ,260
140002450,肛門処置,ｺｳﾓﾝｼｮﾁ,270
140038310,ストーマ処置１,ｽﾄｰﾏｼｮﾁ,280
140014010,導尿（尿道拡張を要するもの）,ﾄﾞｳﾆｮｳ,290
140013810,留置カテーテル設置,ﾘｭｳﾁｶﾃｰﾃﾙｾｯﾁ,300
140013110,膀胱洗浄,ﾎﾞｳｺｳｾﾝｼﾞｮｳ,310
140037110,間歇的導尿,ｶﾝｹﾂﾃｷﾄﾞｳﾆｮｳ,320
140051310,尿路ストーマカテーテル交換法,ﾆｮｳﾛｽﾄｰﾏｶﾃｰﾃﾙ,330
140002210,消炎鎮痛等処置（湿布処置）,ｼｯﾌﾟｼｮﾁ,340
140040310,消炎鎮痛等処置（器具等による療法）,ｷｸﾞﾄｳﾆﾖﾙﾘｮｳﾎｳ,350
140029610,消炎鎮痛等処置（マッサージ等の手技による療法）,ﾏｯｻｰｼﾞﾄｳｼｭｷﾞﾘｮｳﾎｳ,360
140048010,介達牽引,ｶｲﾀﾂｹﾝｲﾝ,370
140023010,関節穿刺（片）,ｶﾝｾﾂｾﾝｼ,380
140040510,四肢ギプス包帯（手指及び手、足）（片）,ｼｼｷﾞﾌﾟｽﾎｳﾀｲ,390
140040610,四肢ギプス包帯（半肢）（片）,ｼｼｷﾞﾌﾟｽﾎｳﾀｲ,400
140040810,四肢ギプス包帯（上肢、下肢）（片）,ｼｼｷﾞﾌﾟｽﾎｳﾀｲ,410
140041850,四肢ギプスシーネ（半肢）（片）,ｼｼｷﾞﾌﾟｽｼｰﾈ,420
140042450,四肢ギプス除去料（半肢）（片）,ｼｼｷﾞﾌﾟｽｼﾞｮｷｮ,430
140003010,腰椎穿刺,ﾖｳﾂｲｾﾝｼ,440
140003210,胸腔穿刺,ｷｮｳｸｳｾﾝｼ,450
140003610,腹腔穿刺,ﾌｸｸｳｾﾝｼ,460
140004110,持続的胸腔ドレナージ,ｼﾞｿﾞｸﾃｷｷｮｳｸｳﾄﾞﾚﾅｰｼﾞ,470
140012850,血腫穿刺,ｹｯｼｭｾﾝｼ,480
140010210,非開胸的心マッサージ,ｼﾝﾏｯｻｰｼﾞ,490
140010310,カウンターショック,ｶｳﾝﾀｰｼｮｯｸ,500
140019310,耳処置,ﾐﾐｼｮﾁ,510
140019710,鼻処置,ﾊﾅｼｮﾁ,520
140019810,口腔、咽頭処置,ｺｳｸｳｲﾝﾄｳｼｮﾁ,530
140022610,耳垢栓塞除去（複雑）（片）,ｼﾞｺｳｾﾝｿｸｼﾞｮｷｮ,540
140021810,鼻出血止血法,ﾋﾞｼｭｯｹﾂｼｹﾂ,550
140050010,扁桃処置,ﾍﾝﾄｳｼｮﾁ,560
140017610,眼処置,ｶﾞﾝｼｮﾁ,570
140017850,睫毛抜去（少数）,ｼｮｳﾓｳﾊﾞｯｷｮ,580
140032610,結膜異物除去,ｹﾂﾏｸｲﾌﾞﾂｼﾞｮｷｮ,590
