layout_name,grid_row,grid_column,cell_type,item_code,display_name
処置 標準伝票,1,1,label,,創傷・皮膚
処置 標準伝票,1,2,item,140000610,創処置<100
処置 標準伝票,1,3,item,140000710,創処置100〜
処置 標準伝票,1,4,item,140000810,創処置500〜
処置 標準伝票,1,5,item,140032010,熱傷<100
処置 標準伝票,1,6,item,140032110,熱傷100〜
処置 標準伝票,2,1,label,,創傷・皮膚(続)
処置 標準伝票,2,2,item,140062110,下肢創傷
処置 標準伝票,2,3,item,140011610,軟膏処置
処置 標準伝票,2,4,item,140032750,爪甲除去
処置 標準伝票,2,5,item,140038710,鶏眼処置
処置 標準伝票,2,6,item,140012410,いぼ冷凍
処置 標準伝票,3,1,label,,創傷・皮膚(続)
処置 標準伝票,3,2,item,140032950,穿刺排膿
処置 標準伝票,3,3,item,140032410,ドレーン法
処置 標準伝票,3,4,item,140032310,持続吸引ドレ
処置 標準伝票,3,5,item,140053750,NPWT(外来)
処置 標準伝票,4,1,label,,呼吸器
処置 標準伝票,4,2,item,140005610,酸素吸入
処置 標準伝票,4,3,item,140022710,ネブライザ
処置 標準伝票,4,4,item,140022810,超音波ネブ
処置 標準伝票,4,5,item,140003810,喀痰吸引
処置 標準伝票,4,6,item,140056510,排痰誘発
処置 標準伝票,5,1,label,,呼吸器(続)
処置 標準伝票,5,2,item,140009310,人工呼吸
処置 標準伝票,5,3,item,140039550,NPPV
処置 標準伝票,5,4,item,140010710,気管内洗浄
処置 標準伝票,6,1,label,,消化器
処置 標準伝票,6,2,item,140004310,胃管ドレナ
処置 標準伝票,6,3,item,140023210,経管栄養
処置 標準伝票,6,4,item,140037510,浣腸
処置 標準伝票,6,5,item,140037710,摘便
処置 標準伝票,6,6,item,140002450,肛門処置
処置 標準伝票,7,1,label,,消化器(続)
処置 標準伝票,7,2,item,140038310,ストーマ処置
処置 標準伝票,8,1,label,,泌尿器
処置 標準伝票,8,2,item,140014010,導尿
処置 標準伝票,8,3,item,140013810,尿カテ留置
処置 標準伝票,8,4,item,140013110,膀胱洗浄
処置 標準伝票,8,5,item,140037110,間歇導尿
処置 標準伝票,8,6,item,140051310,尿路ストーマ
処置 標準伝票,9,1,label,,整形・固定
処置 標準伝票,9,2,item,140002210,湿布処置
処置 標準伝票,9,3,item,140040310,器具療法
処置 標準伝票,9,4,item,140029610,手技療法
処置 標準伝票,9,5,item,140048010,介達牽引
処置 標準伝票,9,6,item,140023010,関節穿刺
処置 標準伝票,10,1,label,,整形・固定(続)
処置 標準伝票,10,2,item,140040510,ギプス手足
処置 標準伝票,10,3,item,140040610,ギプス半肢
処置 標準伝票,10,4,item,140040810,ギプス上下肢
処置 標準伝票,10,5,item,140041850,シーネ半肢
処置 標準伝票,10,6,item,140042450,ギプス除去
処置 標準伝票,11,1,label,,穿刺・救急
処置 標準伝票,11,2,item,140003010,腰椎穿刺
処置 標準伝票,11,3,item,140003210,胸腔穿刺
処置 標準伝票,11,4,item,140003610,腹腔穿刺
処置 標準伝票,11,5,item,140004110,胸腔ドレナ
処置 標準伝票,11,6,item,140012850,血腫穿刺
処置 標準伝票,12,1,label,,穿刺・救急(続)
処置 標準伝票,12,2,item,140010210,心マッサージ
処置 標準伝票,12,3,item,140010310,除細動
処置 標準伝票,13,1,label,,耳鼻咽喉
処置 標準伝票,13,2,item,140019310,耳処置
処置 標準伝票,13,3,item,140019710,鼻処置
処置 標準伝票,13,4,item,140019810,咽頭処置
処置 標準伝票,13,5,item,140022610,耳垢除去
処置 標準伝票,13,6,item,140021810,鼻出血止血
処置 標準伝票,14,1,label,,耳鼻咽喉(続)
処置 標準伝票,14,2,item,140050010,扁桃処置
処置 標準伝票,15,1,label,,眼科
処置 標準伝票,15,2,item,140017610,眼処置
処置 標準伝票,15,3,item,140017850,睫毛抜去
処置 標準伝票,15,4,item,140032610,結膜異物除去
処置 標準伝票,16,1,label,,セット
処置 標準伝票,16,2,item,SET-01,気道管理S
処置 標準伝票,16,3,item,SET-02,排便ケアS
処置 標準伝票,16,4,item,SET-03,尿カテ管理S
処置 標準伝票,16,5,item,SET-04,胸腔ドレナS
