item_code,name,short_name,name_kana,kind,receipt_code,dataset_code,requires_perform_input,display_order
140000610,創傷処置（１００ｃｍ２未満）,創処置100未満,ｿｳｼｮｳｼｮﾁ,single,140000610,140000610,1,1010
140000710,創傷処置（１００ｃｍ２以上５００ｃｍ２未満）,創処置100〜500,ｿｳｼｮｳｼｮﾁ,single,140000710,140000710,1,1020
140000810,創傷処置（５００ｃｍ２以上３０００ｃｍ２未満）,創処置500〜3000,ｿｳｼｮｳｼｮﾁ,single,140000810,140000810,1,1030
140032010,熱傷処置（１００ｃｍ２未満）,熱傷処置100未満,ﾈｯｼｮｳｼｮﾁ,single,140032010,140032010,1,1040
140032110,熱傷処置（１００ｃｍ２以上５００ｃｍ２未満）,熱傷処置100〜500,ﾈｯｼｮｳｼｮﾁ,single,140032110,140032110,1,1050
140062110,下肢創傷処置（足部の浅い潰瘍）,下肢創傷処置,ｶｼｿｳｼｮｳｼｮﾁ,single,140062110,140062110,1,1060
140011610,皮膚科軟膏処置（１００ｃｍ２以上５００ｃｍ２未満）,軟膏処置,ﾋﾌｶﾅﾝｺｳｼｮﾁ,single,140011610,140011610,1,1070
140032750,爪甲除去,爪甲除去,ｿｳｺｳｼﾞｮｷｮ,single,140032750,140032750,1,1080
140038710,鶏眼・胼胝処置,鶏眼処置,ｹｲｶﾞﾝﾍﾞﾝﾁｼｮﾁ,single,140038710,140038710,1,1090
140012410,いぼ等冷凍凝固法（３箇所以下）,いぼ冷凍,ｲﾎﾞﾚｲﾄｳｷﾞｮｳｺ,single,140012410,140012410,1,1100
140032950,穿刺排膿後薬液注入,穿刺排膿,ｾﾝｼﾊｲﾉｳ,single,140032950,140032950,1,1110
140032410,ドレーン法（その他）,ドレーン法,ﾄﾞﾚｰﾝﾎｳ,single,140032410,140032410,1,1120
140032310,ドレーン法（持続的吸引）,持続吸引ドレーン,ﾄﾞﾚｰﾝﾎｳｼﾞｿﾞｸ,single,140032310,140032310,1,1130
140053750,局所陰圧閉鎖処置（入院外）（１００ｃｍ２未満）,NPWT外来,ｷｮｸｼｮｲﾝｱﾂﾍｲｻ,single,140053750,140053750,1,1140
140005610,酸素吸入,酸素吸入,ｻﾝｿｷｭｳﾆｭｳ,single,140005610,140005610,1,2150
140022710,ネブライザ,ネブライザ,ﾈﾌﾞﾗｲｻﾞ,single,140022710,140022710,1,2160
140022810,超音波ネブライザ,超音波ネブ,ﾁｮｳｵﾝﾊﾟﾈﾌﾞﾗｲｻﾞ,single,140022810,140022810,1,2170
140003810,喀痰吸引,喀痰吸引,ｶｸﾀﾝｷｭｳｲﾝ,single,140003810,140003810,1,2180
140056510,排痰誘発法,排痰誘発,ﾊｲﾀﾝﾕｳﾊﾂ,single,140056510,140056510,1,2190
140009310,人工呼吸,人工呼吸,ｼﾞﾝｺｳｺｷｭｳ,single,140009310,140009310,1,2200
140039550,人工呼吸（鼻マスク式人工呼吸器）,NPPV,ﾋﾞﾏｽｸｼｷｼﾞﾝｺｳｺｷｭｳ,single,140039550,140039550,1,2210
140010710,気管内洗浄,気管内洗浄,ｷｶﾝﾅｲｾﾝｼﾞｮｳ,single,140010710,140010710,1,2220
140004310,胃持続ドレナージ,胃管ドレナージ,ｲｼﾞｿﾞｸﾄﾞﾚﾅｰｼﾞ,single,140004310,140004310,1,3230
140023210,鼻腔栄養,経管栄養,ﾋﾞｸｳｴｲﾖｳ,single,140023210,140023210,1,3240
140037510,高圧浣腸,浣腸,ｺｳｱﾂｶﾝﾁｮｳ,single,140037510,140037510,1,3250
140037710,摘便,摘便,ﾃｷﾍﾞﾝ,single,140037710,140037710,1,3260
140002450,肛門処置,肛門処置,ｺｳﾓﾝｼｮﾁ,single,140002450,140002450,1,3270
140038310,ストーマ処置１,ストーマ処置,ｽﾄｰﾏｼｮﾁ,single,140038310,140038310,1,3280
140014010,導尿（尿道拡張を要するもの）,導尿,ﾄﾞｳﾆｮｳ,single,140014010,140014010,1,4290
140013810,留置カテーテル設置,尿道カテ留置,ﾘｭｳﾁｶﾃｰﾃﾙｾｯﾁ,single,140013810,140013810,1,4300
140013110,膀胱洗浄,膀胱洗浄,ﾎﾞｳｺｳｾﾝｼﾞｮｳ,single,140013110,140013110,1,4310
140037110,間歇的導尿,間歇導尿,ｶﾝｹﾂﾃｷﾄﾞｳﾆｮｳ,single,140037110,140037110,1,4320
140051310,尿路ストーマカテーテル交換法,尿路ストーマ交換,ﾆｮｳﾛｽﾄｰﾏｶﾃｰﾃﾙ,single,140051310,140051310,1,4330
140002210,消炎鎮痛等処置（湿布処置）,湿布処置,ｼｯﾌﾟｼｮﾁ,single,140002210,140002210,1,5340
140040310,消炎鎮痛等処置（器具等による療法）,器具療法,ｷｸﾞﾄｳﾆﾖﾙﾘｮｳﾎｳ,single,140040310,140040310,1,5350
140029610,消炎鎮痛等処置（マッサージ等の手技による療法）,手技療法,ﾏｯｻｰｼﾞﾄｳｼｭｷﾞﾘｮｳﾎｳ,single,140029610,140029610,1,5360
140048010,介達牽引,介達牽引,ｶｲﾀﾂｹﾝｲﾝ,single,140048010,140048010,1,5370
140023010,関節穿刺（片）,関節穿刺,ｶﾝｾﾂｾﾝｼ,single,140023010,140023010,1,5380
140040510,四肢ギプス包帯（手指及び手、足）（片）,ギプス(手足),ｼｼｷﾞﾌﾟｽﾎｳﾀｲ,single,140040510,140040510,1,5390
140040610,四肢ギプス包帯（半肢）（片）,ギプス(半肢),ｼｼｷﾞﾌﾟｽﾎｳﾀｲ,single,140040610,140040610,1,5400
140040810,四肢ギプス包帯（上肢、下肢）（片）,ギプス(上下肢),ｼｼｷﾞﾌﾟｽﾎｳﾀｲ,single,140040810,140040810,1,5410
140041850,四肢ギプスシーネ（半肢）（片）,シーネ(半肢),ｼｼｷﾞﾌﾟｽｼｰﾈ,single,140041850,140041850,1,5420
140042450,四肢ギプス除去料（半肢）（片）,ギプス除去(半肢),ｼｼｷﾞﾌﾟｽｼﾞｮｷｮ,single,140042450,140042450,1,5430
140003010,腰椎穿刺,腰椎穿刺,ﾖｳﾂｲｾﾝｼ,single,140003010,140003010,1,6440
140003210,胸腔穿刺,胸腔穿刺,ｷｮｳｸｳｾﾝｼ,single,140003210,140003210,1,6450
140003610,腹腔穿刺,腹腔穿刺,ﾌｸｸｳｾﾝｼ,single,140003610,140003610,1,6460
140004110,持続的胸腔ドレナージ,胸腔ドレナージ,ｼﾞｿﾞｸﾃｷｷｮｳｸｳﾄﾞﾚﾅｰｼﾞ,single,140004110,140004110,1,6470
140012850,血腫穿刺,血腫穿刺,ｹｯｼｭｾﾝｼ,single,140012850,140012850,1,6480
140010210,非開胸的心マッサージ,心マッサージ,ｼﾝﾏｯｻｰｼﾞ,single,140010210,140010210,1,6490
140010310,カウンターショック,カウンターショック,ｶｳﾝﾀｰｼｮｯｸ,single,140010310,140010310,1,6500
140019310,耳処置,耳処置,ﾐﾐｼｮﾁ,single,140019310,140019310,1,7510
140019710,鼻処置,鼻処置,ﾊﾅｼｮﾁ,single,140019710,140019710,1,7520
140019810,口腔、咽頭処置,咽頭処置,ｺｳｸｳｲﾝﾄｳｼｮﾁ,single,140019810,140019810,1,7530
140022610,耳垢栓塞除去（複雑）（片）,耳垢除去,ｼﾞｺｳｾﾝｿｸｼﾞｮｷｮ,single,140022610,140022610,1,7540
140021810,鼻出血止血法,鼻出血止血,ﾋﾞｼｭｯｹﾂｼｹﾂ,single,140021810,140021810,1,7550
140050010,扁桃処置,扁桃処置,ﾍﾝﾄｳｼｮﾁ,single,140050010,140050010,1,7560
140017610,眼処置,眼処置,ｶﾞﾝｼｮﾁ,single,140017610,140017610,1,8570
140017850,睫毛抜去（少数）,睫毛抜去,ｼｮｳﾓｳﾊﾞｯｷｮ,single,140017850,140017850,1,8580
140032610,結膜異物除去,結膜異物除去,ｹﾂﾏｸｲﾌﾞﾂｼﾞｮｷｮ,single,140032610,140032610,1,8590
SET-01,気道管理セット,気道管理,ｷﾄﾞｳｶﾝﾘｾｯﾄ,set,,,1,1
SET-02,排便ケアセット,排便ケア,ﾊｲﾍﾞﾝｹｱｾｯﾄ,set,,,1,2
SET-03,尿道カテーテル管理セット,尿カテ管理,ﾆｮｳﾄﾞｳｶﾃｰﾃﾙｾｯﾄ,set,,,1,3
SET-04,胸腔穿刺・ドレナージセット,胸腔ドレナージ,ｷｮｳｸｳｾﾝｼﾄﾞﾚﾅｰｼﾞｾｯﾄ,set,,,1,4
